dia,ventas
2007-10-29,2.0
2007-11-05,1.0
2007-11-23,1.0
2007-12-02,1.0
2007-12-04,1.0
2008-01-06,1.0
2008-01-07,1.0
2008-01-08,1.0
2008-01-09,1.0
2008-01-10,1.0
2008-01-13,1.0
2008-01-15,1.0
2008-01-25,1.0
2008-01-30,1.0
2008-02-03,1.0
2008-02-08,1.0
2008-02-20,3.0
2008-02-27,1.0
2008-03-02,1.0
2008-03-09,1.0
2008-03-12,2.0
2008-03-20,1.0
2008-03-23,1.0
2008-03-26,1.0
2008-03-28,1.0
2008-04-02,1.0
2008-04-06,1.0
2008-04-13,1.0
2008-04-16,1.0
2008-04-24,1.0
2008-04-30,1.0
2008-05-04,1.0
2008-05-08,1.0
2008-05-16,1.0
2008-06-04,1.0
2008-06-07,1.0
2008-06-09,1.0
2008-06-12,1.0
2008-06-17,1.0
2008-06-20,1.0
2008-06-21,1.0
2008-06-30,1.0
2008-07-03,1.0
2008-07-05,2.0
2008-07-10,1.0
2008-07-11,2.0
2008-07-13,1.0
2008-07-14,1.0
2008-07-15,1.0
2008-07-26,1.0
2008-07-30,1.0
2008-08-01,1.0
2008-08-05,1.0
2008-08-08,3.0
2008-08-13,1.0
2008-08-14,1.0
2008-08-18,1.0
2008-08-29,1.0
2008-08-30,1.0
2008-09-01,1.0
2008-09-04,1.0
2008-09-05,1.0
2008-09-06,1.0
2008-09-11,1.0
2008-09-12,1.0
2008-09-20,1.0
2008-09-21,1.0
2008-09-26,1.0
2008-09-28,1.0
2008-10-01,1.0
2008-10-03,1.0
2008-10-13,1.0
2008-10-18,1.0
2008-10-19,1.0
2008-10-30,1.0
2008-11-01,1.0
2008-11-03,1.0
2008-11-05,1.0
2008-11-14,2.0
2008-11-20,2.0
2008-11-22,1.0
2008-11-26,1.0
2008-11-28,1.0
2008-11-29,1.0
2008-12-05,1.0
2008-12-06,1.0
2008-12-07,1.0
2008-12-10,1.0
2008-12-11,2.0
2008-12-19,2.0
2008-12-20,1.0
2008-12-24,1.0
2008-12-25,1.0
2008-12-27,1.0
2009-01-02,1.0
2009-01-03,1.0
2009-01-04,1.0
2009-01-09,1.0
2009-01-10,3.0
2009-01-14,1.0
2009-01-16,1.0
2009-01-17,1.0
2009-01-18,1.0
2009-01-19,1.0
2009-01-20,1.0
2009-01-24,1.0
2009-01-31,1.0
2009-02-01,1.0
2009-02-05,1.0
2009-02-06,1.0
2009-02-07,1.0
2009-02-12,1.0
2009-02-13,1.0
2009-02-15,1.0
2009-02-27,1.0
2009-03-01,1.0
2009-03-04,1.0
2009-03-06,1.0
2009-03-07,1.0
2009-03-08,2.0
2009-03-13,1.0
2009-03-14,1.0
2009-03-16,1.0
2009-03-22,1.0
2009-03-25,1.0
2009-03-27,1.0
2009-04-02,1.0
2009-04-03,1.0
2009-04-06,1.0
2009-04-09,1.0
2009-04-14,1.0
2009-04-17,1.0
2009-04-29,1.0
2009-05-01,1.0
2009-05-08,3.0
2009-05-13,1.0
2009-05-17,1.0
2009-05-19,1.0
2009-05-22,1.0
2009-05-24,1.0
2009-05-28,2.0
2009-06-02,1.0
2009-06-04,1.0
2009-06-05,2.0
2009-06-10,1.0
2009-06-18,1.0
2009-06-20,3.0
2009-06-29,1.0
2009-07-01,2.0
2009-07-02,1.0
2009-07-03,1.0
2009-07-08,1.0
2009-07-11,1.0
2009-07-14,1.0
2009-07-15,3.0
2009-07-16,2.0
2009-07-25,1.0
2009-07-27,1.0
2009-07-28,2.0
2009-07-31,2.0
2009-08-01,1.0
2009-08-05,1.0
2009-08-07,3.0
2009-08-09,1.0
2009-08-16,1.0
2009-08-20,1.0
2009-08-25,1.0
2009-08-27,1.0
2009-08-28,1.0
2009-08-31,1.0
2009-09-03,1.0
2009-09-06,1.0
2010-10-29,1.0
2010-10-30,1.0
2010-11-01,1.0
2010-11-02,1.0
2010-11-04,1.0
2010-11-07,1.0
2010-11-09,1.0
2010-11-10,1.0
2010-11-13,1.0
2010-11-16,2.0
2010-11-24,2.0
2010-11-26,1.0
2010-11-27,1.0
2010-12-01,1.0
2010-12-03,2.0
2010-12-06,2.0
2010-12-10,3.0
2010-12-13,1.0
2010-12-14,1.0
2010-12-17,1.0
2010-12-18,1.0
2010-12-20,1.0
2010-12-24,1.0
2010-12-27,1.0
2010-12-28,2.0
2010-12-31,1.0
2011-01-03,1.0
2011-01-04,1.0
2011-01-08,1.0
2011-01-11,1.0
2011-01-17,1.0
2011-01-19,2.0
2011-01-24,2.0
2011-01-25,1.0
2011-01-26,1.0
2011-01-28,1.0
2011-01-30,1.0
2011-02-03,1.0
2011-02-04,1.0
2011-02-10,1.0
2011-02-21,1.0
2011-02-24,2.0
2011-02-25,1.0
2011-02-26,1.0
2011-03-03,1.0
2011-03-04,1.0
2011-03-06,2.0
2011-03-07,1.0
2011-03-09,1.0
2011-03-12,1.0
2011-03-16,2.0
2011-03-17,1.0
2011-03-19,1.0
2011-03-20,1.0
2011-03-22,1.0
2011-03-24,2.0
2011-03-25,1.0
2011-03-29,2.0
2011-03-30,1.0
2011-04-02,1.0
2011-04-06,1.0
2011-04-12,1.0
2011-04-16,2.0
2011-04-17,2.0
2011-04-20,1.0
2011-05-04,2.0
2011-05-06,2.0
2011-05-10,2.0
2011-05-16,1.0
2011-05-17,1.0
2011-05-19,1.0
2011-05-20,2.0
2011-05-25,1.0
2011-05-30,3.0
2011-06-02,3.0
2011-06-10,1.0
2011-06-13,1.0
2011-06-15,1.0
2011-06-16,1.0
2011-06-19,1.0
2011-06-25,2.0
2011-06-29,1.0
2011-07-02,2.0
2011-07-10,1.0
2011-07-12,1.0
2011-07-13,1.0
2011-07-14,1.0
2011-07-15,2.0
2011-07-16,1.0
2011-07-18,1.0
2011-07-20,1.0
2011-07-21,1.0
2011-07-24,1.0
2011-07-27,1.0
2011-08-01,1.0
2011-08-03,1.0
2011-08-04,1.0
2011-08-06,2.0
2011-08-08,1.0
2011-08-13,1.0
2011-08-15,1.0
2011-08-16,1.0
2011-08-20,1.0
2011-08-22,1.0
2011-08-24,2.0
2011-08-26,1.0
2011-08-29,1.0
2011-09-01,1.0
2011-09-02,2.0
2011-09-06,1.0
2011-09-08,1.0
2011-09-09,1.0
2011-09-10,2.0
2011-09-14,1.0
2011-09-15,1.0
2011-09-16,1.0
2011-09-22,2.0
2011-09-23,1.0
2011-09-24,1.0
2011-09-29,2.0
2011-10-03,1.0
2011-10-06,1.0
2011-10-10,1.0
2011-10-13,1.0
2011-10-15,1.0
2011-10-17,1.0
2011-10-20,1.0
2011-10-21,1.0
2011-10-24,1.0
2011-10-28,1.0
2011-10-29,1.0
2011-10-31,1.0
2011-11-02,1.0
2011-11-03,2.0
2011-11-06,1.0
2011-11-15,1.0
2011-11-20,1.0
2011-11-30,1.0
2011-12-06,1.0
2011-12-07,1.0
2011-12-13,1.0
2011-12-14,1.0
2011-12-23,1.0
2011-12-24,1.0
2011-12-26,1.0
2012-01-03,1.0
2012-01-05,1.0
2012-01-10,1.0
2012-01-11,3.0
2012-01-12,2.0
2012-01-13,1.0
2012-01-14,2.0
2012-01-19,1.0
2012-01-22,1.0
2012-01-23,1.0
2012-01-29,1.0
2012-01-31,1.0
2012-02-06,2.0
2012-02-09,1.0
2012-03-06,1.0
2012-03-12,1.0
2012-03-20,1.0
2012-03-25,1.0
2012-04-05,1.0
2012-04-13,2.0
2012-04-15,1.0
2012-04-23,1.0
2012-04-25,1.0
2012-05-03,1.0
2012-05-06,1.0
2012-05-10,1.0
2012-05-12,1.0
2012-05-23,2.0
2012-05-25,1.0
2012-05-26,1.0
2012-05-27,1.0
2012-06-10,1.0
2012-06-21,2.0
2012-06-28,1.0
2012-07-07,1.0
2012-07-09,1.0
2012-07-12,2.0
2012-07-14,1.0
2012-07-15,1.0
2012-07-23,1.0
2012-07-24,1.0
2012-07-25,1.0
2012-08-02,1.0
2012-08-05,1.0
2012-09-01,1.0
2012-09-06,1.0
2012-09-18,1.0
2012-09-27,1.0
2012-09-30,1.0
2012-10-05,1.0
2012-10-10,1.0
2012-10-23,1.0
2012-10-25,1.0
2012-10-26,1.0
2012-10-30,1.0
2012-10-31,1.0
2012-11-01,1.0
2012-11-03,1.0
2012-11-07,1.0
2012-11-08,2.0
2012-11-26,1.0
2012-11-27,1.0
2012-12-03,2.0
2012-12-06,1.0
2012-12-07,2.0
2012-12-31,1.0
2013-01-05,1.0
2013-01-06,1.0
2013-01-10,1.0
2013-01-16,1.0
2013-01-30,2.0
2013-02-11,1.0
2013-02-14,1.0
2013-02-21,1.0
2013-02-23,1.0
2013-02-25,1.0
2013-03-04,1.0
2013-03-08,1.0
2013-03-15,1.0
2013-03-18,2.0
2013-03-26,1.0
2013-03-27,1.0
2013-04-04,1.0
2013-04-06,1.0
2013-04-14,2.0
2013-04-21,1.0
2013-05-01,1.0
2013-05-09,1.0
2013-05-17,1.0
2013-05-29,1.0
2013-06-01,1.0
2013-06-05,1.0
2013-06-16,1.0
2013-06-20,1.0
2013-06-22,1.0
2013-06-26,1.0
2013-06-27,1.0
2013-06-29,2.0
2013-07-06,1.0
2013-07-15,1.0
2013-07-18,1.0
2013-07-23,1.0
2013-07-30,1.0
2013-08-07,1.0
2013-08-15,1.0
2013-09-06,1.0
2013-09-13,1.0
2013-09-15,1.0
2013-09-16,1.0
2013-09-17,1.0
2013-09-27,1.0
2013-09-30,1.0
2013-10-05,1.0
2013-10-11,1.0
2013-10-18,1.0
2013-11-02,1.0
2013-11-05,1.0
2013-11-14,1.0
2013-11-26,1.0
2013-12-06,2.0
2013-12-21,1.0
2013-12-29,1.0
2014-01-04,1.0
2014-01-10,1.0
2014-01-17,1.0
2014-01-20,1.0
2014-01-26,2.0
2014-01-29,1.0
2014-01-31,1.0
2014-02-12,1.0
2014-02-28,3.0
2014-03-14,1.0
2014-03-15,1.0
2014-03-17,3.0
2014-03-19,1.0
2014-03-22,2.0
2014-03-28,1.0
2014-03-30,1.0
2014-03-31,1.0
2014-04-13,1.0
2014-04-18,1.0
2014-04-20,1.0
2014-04-22,1.0
2014-04-27,2.0
2014-05-08,1.0
2014-05-10,1.0
2014-05-20,1.0
