dia,ventas
2008-03-22,4.0
2008-04-02,1.0
2008-04-12,3.0
2008-05-01,1.0
2008-05-16,1.0
2008-05-19,1.0
2008-05-22,1.0
2008-05-24,2.0
2008-05-29,1.0
2008-06-08,1.0
2008-06-15,1.0
2008-07-06,1.0
2008-07-13,1.0
2008-07-27,1.0
2008-08-17,1.0
2008-09-13,1.0
2008-11-08,1.0
2008-12-22,2.0
2009-02-27,2.0
2013-11-09,2.0
2013-11-15,2.0
2013-11-20,1.0
2013-11-23,1.0
2013-12-24,1.0
2014-01-22,1.0
2014-01-26,2.0
2014-02-01,2.0
2014-02-07,1.0
2014-02-08,4.0
2014-02-10,1.0
2014-05-04,1.0
2014-05-16,1.0
2014-05-20,1.0
2014-05-22,1.0
2014-05-23,1.0
2014-06-07,1.0
2014-10-17,2.0
2014-10-21,1.0
2014-10-23,1.0
2014-11-06,1.0
2014-11-08,1.0
2014-11-21,1.0
2014-11-29,1.0
2014-12-05,1.0
2014-12-06,1.0
2014-12-14,1.0
2014-12-21,1.0
2014-12-31,1.0
2015-01-13,1.0
2015-01-15,1.0
2015-01-16,1.0
2015-01-17,2.0
