fecha,precio,cantidad
07/08/2008,17.0,1.0
30/10/2008,17.0,1.0
09/11/2008,17.0,1.0
31/12/2008,19.0,1.0
15/01/2009,19.0,1.0
04/02/2009,19.0,1.0
27/02/2009,19.0,1.0
16/03/2009,19.0,1.0
02/04/2009,19.0,1.0
11/04/2009,19.0,1.0
01/05/2009,19.0,1.0
21/05/2009,19.0,1.0
22/05/2009,19.0,1.0
23/05/2009,19.0,1.0
06/06/2009,19.0,1.0
18/06/2009,19.0,1.0
11/07/2009,20.0,1.0
12/08/2009,21.0,1.0
27/08/2009,21.0,1.0
14/04/2012,31.0,1.0
11/05/2012,31.0,1.0
24/05/2012,31.0,1.0
23/06/2012,33.0,1.0
12/07/2012,33.0,1.0
13/07/2012,33.0,1.0
27/07/2012,36.0,1.0
08/08/2012,36.0,1.0
11/08/2012,36.0,1.0
16/08/2012,36.0,1.0
12/09/2012,36.0,1.0
06/10/2012,36.0,1.0
13/10/2012,36.0,1.0
13/11/2012,38.0,1.0
23/11/2012,38.0,1.0
23/11/2012,38.0,1.0
05/12/2012,38.0,1.0
10/12/2012,38.0,1.0
23/12/2012,38.0,1.0
29/12/2012,38.0,1.0
06/01/2013,38.0,1.0
09/01/2013,38.0,1.0
25/01/2013,38.0,1.0
01/02/2013,38.0,1.0
07/02/2013,42.0,1.0
16/02/2013,42.0,1.0
09/04/2013,42.0,1.0
03/05/2013,42.0,1.0
29/05/2013,42.0,1.0
20/06/2013,45.0,1.0
29/07/2013,50.0,1.0
02/11/2013,50.0,1.0
21/12/2013,53.0,1.0
24/06/2014,60.0,1.0
07/07/2014,60.0,1.0
11/07/2014,60.0,1.0
22/12/2014,66.0,1.0
21/05/2015,72.0,1.0
