producto,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
xx,0,0,0,0,0,0,2.25,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.75,0,0,0.875,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,5.0,6.5,6.5,0,0,0,0,0,0,0,0,0,4.0,8.0,0,0,0,0,0,0,8.0,0,0,0,8.0,0,0,0,0,0,0,12.0,0,0,0,0
Cepita 200cc,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.25,1.25,1.25,1.25,0,0.5,1.0,1.0,1.25,1.25,1.25,0,0,1.25,1.25,1.25,1.25,0.625,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,2.0,2.0,0,1.0,2.0,0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0,1.25,2.5,3.0,0.6,3.0,3.0,3.0,1.5,3.0,1.75,3.5,1.75,3.5,3.5,3.5,2.0,0,4.0,4.0,0,4.0,2.5,5.0,5.0,5.0,5.0,5.0,2.5,5.0,0
Amargo Tres Torres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,4.5,4.5,4.5,0,4.5,0,0,0,0,0,0,0,0,0,0,13.0,13.0,0,0,0,9.0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powerade 500 cc,0,0,0,0,0,0,3.1500000954,3.25,3.25,3.25,3.25,3.25,3.75,3.9000000954,3.9000000954,3.9000000954,3.9000000954,4.0,4.0,4.0,2.75,2.75,1.375,2.75,1.375,1.375,0.4583333333333333,2.75,2.75,2.75,2.75,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5,3.75,1.875,3.75,3.0,3.0,3.0,3.0,3.0,4.25,4.25,4.25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.5,5.0,2.5,2.75,5.5,2.75,5.5,5.0,6.0,3.0,6.0,6.0,6.0,6.0,6.5,7.0,7.0,7.0,0,7.0,7.0,7.0,0,10.0,10.0,10.0,3.3333333333333335,10.0,10.0,12.0,12.0,12.0,12.0,12.0,0
Jugo Monasterio 1 1/2 l,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,3.25,0,0,0,0,0,0,0,0,0,0,0,0,3.75,3.75,3.75,3.75,3.75,1.875,3.75,3.75,3.75,3.75,1.875,4.25,1.4166666666666667,4.25,4.25,2.25,4.5,4.5,4.5,4.5,4.5,2.75,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2.75,5.5,6.0,6.0,7.0,7.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,4.0,8.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,0
Jugo Monasterio bidon,0,0,0,0,0,0,3.75,3.75,3.75,3.75,4.25,4.25,4.25,4.25,4.25,4.75,4.75,4.75,4.75,5.25,5.25,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,6.5,6.5,6.5,1.3,6.5,7.25,7.25,7.25,7.25,7.75,7.75,7.75,8.0,8.5,8.5,8.5,8.5,8.5,8.5,9.5,9.5,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.5,11.5,11.5,13.0,13.0,13.0,14.0,7.0,15.5,16.0,17.5,18.0,18.0,18.0,18.0,9.0,18.0,18.0,3.6,21.0,21.0,22.0,24.0,24.0,12.0,0,12.0,12.0,12.0,14.0,28.0,28.0,0,0
Jugo Naranpol 1 1/2 l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baggio Fresh y Light 1lt,0,0,0,0,0,0,0,0.200000003,0,0,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.125,0.5,0.5,0.125,0.25,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,13.0,13.0,0,0,6.5,0,0,0,0,13.0,13.0,13.0,10.0,0,0,0
Jugo Saldan,0,0,0,0,0,0,1.0,3.0,3.0,3.0,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.5,3.5,3.5,3.75,3.75,3.9000000954,3.9000000954,4.25,4.25,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.25,5.25,5.5,5.75,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.75,6.75,1.75,3.5,7.0,7.0,7.0,7.5,7.5,7.5,7.5,7.5,7.5,8.0,8.0,8.0,8.0,4.25,8.5,4.5,9.0,9.0,9.0,9.5,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,7.5,0
Clight,0,0,0,0,0,0,0.25,0.75,0.375,0.75,0.375,0.75,0.75,0.75,0.4499999881,0.14999999603333333,0.4499999881,0.8999999762,0.8999999762,0.8999999762,0.625,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.625,1.25,0.625,0.625,0.4166666666666667,1.25,0.5,1.5,0.5,1.5,1.5,0.5,1.5,0.75,0.75,0.75,0.5,0.5833333333333334,1.75,1.75,1.75,1.75,0.875,1.75,1.75,0.4375,0.5833333333333334,0.875,0.4375,1.75,1.0,0.6666666666666666,1.0,0.5,2.0,2.0,0.4,1.25,1.25,2.5,2.5,2.5,1.25,3.0,3.0,3.0,1.5,1.5,3.5,1.75,1.1666666666666667,1.75,1.1666666666666667,1.1666666666666667,3.5,1.75,1.75,1.75,3.5,1.75,3.5,0
Tang,0,0,0,0,0,0,0.75,0.75,0.75,0.1875,0.75,0.375,0.375,0.75,0.8999999762,0.4499999881,0.8999999762,0.4499999881,0.8999999762,0.29999999206666667,0.8999999762,0.8999999762,0.8999999762,0.8999999762,0.4499999881,0.29999999206666667,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0625,1.0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.3125,1.25,0.20833333333333334,1.25,0.4166666666666667,0.625,1.25,0.75,1.5,0.5,0.375,1.5,1.5,0.75,0.5,1.5,0.75,0.21428571428571427,0.5,1.5,1.5,1.5,0.75,1.75,0.875,0.175,0.4375,0.5833333333333334,0.875,0.875,1.75,0.4375,1.75,0.4375,0.21875,1.0,2.0,0.5,2.5,0.125,0.5,0.4166666666666667,1.25,2.5,2.5,1.25,2.5,1.5,1.5,3.0,0.5,1.5,1.0,3.0,1.5,1.5,1.75,3.5,0.5833333333333334,1.75,0.875,3.5,0
Ades 200cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,7.0,7.0,8.0,0,0,0,0,0
Mr Loco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baggio 1lt,0,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.75,2.75,2.75,2.75,1.375,2.75,2.75,2.75,2.75,2.75,3.0,1.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,2.375,4.75,4.75,4.75,4.75,5.0,5.0,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5,6.5,7.0,7.0,3.5,7.0,7.0,7.5,7.5,8.0,8.0,9.5,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,2.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,15.0,15.0,0
panda,0,0,0,0,0,0,2.0,2.0,2.0,1.0,2.0,2.0,2.25,2.25,2.25,2.25,2.25,2.5,2.5,1.25,2.5,2.5,2.5,2.75,1.375,3.0,3.0,3.25,3.25,1.625,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1.75,3.5,3.5,3.5,1.75,3.5,1.1666666666666667,1.1666666666666667,3.5,1.75,3.5,3.5,3.5,1.75,3.5,3.5,3.5,3.5,1.75,1.1666666666666667,3.5,3.5,3.5,1.5,0.75,0.5,1.5,0.10714285714285714,0,0.875,0.09210526315789473,0,0,1.75,1.75,1.75,0,0.6666666666666666,1.0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,3.0,0,0
Amargo Monasterio 1500cc,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,4.25,4.5,4.5,4.5,4.5,4.5,4.5,5.5,5.5,5.5,2.75,5.5,5.5,5.5,5.5,5.5,5.5,2.75,5.5,5.5,5.5,5.5,2.0,6.0,7.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,10.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0
Amargo Monasterio bidon 5 lts,0,0,0,0,0,0,4.25,4.25,4.5,4.75,5.0,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.9000000954,5.9000000954,5.9000000954,6.0,6.0,3.0,6.0,6.0,3.0,6.0,6.0,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,8.75,8.75,8.75,8.75,8.75,8.75,4.375,8.75,8.75,8.75,9.5,9.5,9.5,0,0,0,0,0,9.5,0,0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,14.5,14.5,15.5,15.5,17.0,17.0,17.5,19.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,22.0,22.0,24.0,26.0,26.0,26.0,26.0,26.0,26.0,13.0,13.0,28.0,28.0,14.0,14.0,0
Amargo terma 1250cc,0,0,0,0,0,0,3.75,3.9000000954,3.9000000954,3.9000000954,4.0,4.25,4.25,4.25,4.25,2.125,4.25,4.5,4.5,4.75,4.75,4.75,4.75,4.9000000954,4.9000000954,4.9000000954,5.5,5.75,5.75,5.75,5.75,6.0,6.0,0,0,0,0,0,0,6.75,0,0,0,0,0,7.5,7.75,7.75,7.75,7.75,3.875,7.75,4.375,8.75,8.75,8.75,8.75,8.75,9.0,5.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.3333333333333335,10.0,10.0,10.0,5.25,10.5,5.5,11.0,12.0,12.0,14.0,15.0,15.0,15.0,15.0,15.0,7.5,15.0,15.0,14.0,15.0,17.0,17.0,17.0,8.5,18.0,18.0,18.0,18.0,9.0,18.0,18.0,18.0,0
Limonada Terma 3000cc,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,2.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,13.0,13.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,20.0,20.0,20.0,20.0,0
Gatorade bot 473 cc,0,0,0,0,0,0,2.75,2.75,2.75,2.75,2.75,3.25,3.25,3.25,1.625,3.25,3.25,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,0.7,3.5,3.5,1.75,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,5.0,5.0,5.0,5.0,5.0,5.0,5.5,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5,3.25,7.0,7.0,3.5,7.0,7.0,7.0,7.0,7.0,7.0,2.3333333333333335,7.0,7.0,7.0,7.0,1.1666666666666667,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,13.0,13.0,0
Leviton y Leviton Cero (Damajuana),0,0,0,0,0,0,0,0,0,17.0,17.0,17.0,0,17.0,0,0,0,0,0,0,0,0,0,6.0,6.0,0,0,6.0,6.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,6.0,6.0,7.0,6.5,6.75,7.0,7.0,7.0,7.5,7.5,7.5,8.0,8.0,9.0,9.0,9.0,4.5,9.0,9.0,9.0,9.5,10.0,10.0,11.0,11.0,11.0,11.0,11.0,10.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,6.5,14.0,14.0,14.0,15.0,15.0,15.0,15.0,8.0,16.0,16.0,18.0,18.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,23.0,23.0,11.5,23.0,23.0,0
Ades 1lt,0,0,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,16.0,16.0,18.0,18.0,18.0,18.0,18.0,0
Jugo Dink C polvo,0,0,0,0,0,0,0.25,0.25,0.5,0.25,0.25,0.16666666666666666,0.5,0.3000000119,0.75,0.75,0.75,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tropicana x 200 cc,0,0,0,0,0,0,0.3333333333333333,1.0,1.25,1.25,0,1.25,1.25,0,0,0,0,0,0,0,0,0,0,1.25,1.25,1.25,1.25,1.25,1.25,1.25,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,2.5,1.25,2.5,0,0,0,0,0,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,2.5,1.25,0,0,0,0,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,6.0,0
Gatorade 1250 cc plastico,0,0,0,0,0,0,4.5,4.5,2.25,4.5,0,0,0,0,0,0,0,0,4.9000000954,4.9000000954,4.9000000954,4.9000000954,5.25,5.25,0,0,5.25,5.25,0,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,6.25,6.25,12.5,12.5,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.5,14.5,14.5,14.5,16.0,16.0,16.0,0,0,8.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,19.0,10.5,23.0,23.0,23.0,23.0,27.0,27.0,27.0,27.0,27.0,30.0,30.0,0
