dia,ventas
2007-07-10,1.0
2009-01-06,1.0
2009-03-06,1.0
2009-05-06,1.0
2012-10-30,13.0
2012-11-07,3.0
2012-11-11,1.0
2013-04-05,1.0
2013-04-26,3.0
2013-05-08,3.0
2013-05-25,1.0
2013-06-04,1.0
2013-06-11,1.0
2013-06-15,1.0
2013-07-01,1.0
2013-08-11,2.0
2014-03-18,3.0
2014-03-19,2.0
2014-03-26,1.0
2014-04-04,3.0
2014-04-06,2.0
2014-04-10,3.0
2014-04-25,1.0
2014-05-11,1.0
2014-05-15,2.0
2014-05-16,1.0
2014-05-17,2.0
2014-05-20,1.0
2014-06-02,1.0
2014-06-05,1.0
2014-06-09,3.0
2014-06-13,2.0
2014-06-21,1.0
2014-07-02,5.0
2014-07-03,1.0
2014-07-15,4.0
2014-11-29,2.0
2014-12-22,4.0
2014-12-29,2.0
2015-01-06,3.0
2015-01-07,2.0
2015-01-11,2.0
2015-01-17,2.0
2015-02-13,1.0
2015-03-18,1.0
2015-04-07,2.0
2015-04-08,1.0
2015-06-27,1.0
