producto,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Toro Tinto tetra,0,0,0,0,0,0,3.0,1.5,0.25,1.5,3.0,1.625,1.625,3.25,3.25,3.25,3.5,3.5,3.5,1.875,3.75,3.75,3.75,4.0,4.0,2.0,4.0,4.25,4.5,4.5,2.375,2.5,1.6666666666666667,0,0,0,0,0,0,6.5,0,0,0,0,0,3.375,3.5,7.0,7.0,7.0,7.0,3.5,7.0,7.0,7.0,7.0,7.0,3.5,7.0,3.5,7.0,7.0,3.75,7.5,8.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,5.5,12.0,12.0,12.0,12.0,1.0833333333333333,7.0,14.0,14.0,14.0,14.0,7.0,15.0,15.0,7.5,15.0,15.0,8.0,16.0,16.0,0.6666666666666666,16.0,1.4166666666666667,17.0,0
Toro Blanco tetra,0,0,0,0,0,0,2.5,2.5,2.5,2.5,0.4166666666666667,1.375,1.375,2.9000000954,2.9000000954,2.9000000954,3.25,3.25,3.25,3.5,3.5,3.5,3.5,3.5,3.5,3.5,1.75,3.75,3.75,3.75,1.25,2.0,2.0,0,0,0,0,0,0,4.75,0,0,0,0,0,5.25,5.25,5.25,5.25,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2.75,5.5,5.5,5.5,1.375,6.5,6.5,6.5,7.0,2.3333333333333335,7.0,7.0,2.3333333333333335,3.75,7.5,7.5,4.0,8.0,8.0,8.0,4.0,8.0,4.5,9.0,1.5833333333333333,10.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,6.0,6.0,12.0,13.0,13.0,13.0,13.0,6.5,14.0,14.0,14.0,14.0,14.0,15.0,7.5,0
Uvita blanco dulce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viñas Riojanas Blanco tetra,0,0,0,0,0,0,2.6500000954,2.6500000954,2.6500000954,0.78750002385,0.6300000190799999,1.5750000477,0.7,3.5,3.5,1.75,3.5,3.75,3.75,3.75,3.75,3.75,3.75,0.9375,4.5,2.25,4.5,4.5,4.5,1.5,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,2.875,5.75,2.875,2.875,2.875,5.75,2.875,5.75,1.9166666666666667,5.75,5.75,5.75,5.75,5.75,1.9166666666666667,2.875,2.875,5.75,6.25,3.25,3.5,3.75,3.75,7.5,0.6666666666666666,4.0,4.0,8.0,4.0,4.0,8.0,4.25,9.5,9.5,5.0,5.0,11.0,11.0,5.5,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,4.333333333333333,13.0,1.0833333333333333,13.0,13.0,13.0,3.25,13.0,6.5,0
Viñas Riojanas Tinto tetra y 930cc,0,0,0,0,0,0,3.0999999046,0.77499997615,1.5499999523,3.1500000954,3.1500000954,3.1500000954,3.5,3.5,3.5,3.5,1.75,1.875,3.75,1.875,3.75,3.75,3.75,4.0,4.5,4.5,1.5,4.5,4.5,4.5,2.25,4.5,4.75,0,0,0,0,0,0,0,0,0,0,0,0,7.75,7.75,3.875,7.75,7.75,7.75,3.875,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,8.0,8.0,8.5,9.0,9.0,4.5,9.0,9.0,9.0,9.5,9.5,4.75,10.0,10.0,11.0,5.5,11.0,11.0,11.0,11.0,5.5,11.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,3.25,13.0,13.0,13.0,13.0,13.0,6.5,13.0,13.0,13.0,13.0,13.0,0
Don Ernesto Bco damaj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0,22.0,22.0,0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,0,23.0,26.0,26.0,26.0,26.0,30.0,30.0,30.0,30.0,0,30.0,0,0,0,0,34.0,36.0,21.0,42.0,42.0,42.0,0,42.0,46.0,48.0,48.0,48.0,48.0,48.0,24.0,48.0,48.0,0,0,48.0,0,50.0,0,0,0,0,0
Zumuva bco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5,0,0,3.5,3.5,3.5,0.5833333333333334,3.5,1.75,3.5,3.5,1.1666666666666667,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zumuva bco dce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.7,3.5,3.5,1.75,3.5,3.5,3.5,3.5,3.75,3.75,3.75,4.25,4.5,0,0,0,0,0,0,0,0,0,0,0,0,2.75,5.5,5.5,5.5,5.5,2.75,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,2.75,5.5,5.5,6.0,6.0,6.5,7.0,7.5,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.5,9.5,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,13.0,13.0,4.333333333333333,13.0,6.5,0,13.0,4.333333333333333,6.5,13.0,6.5,6.5,6.5,14.0,0
Toro Blanco Dulce tetra (Damajuana),0,0,0,0,0,0,0,0,18.5,18.5,18.5,18.5,18.5,0,19.0,0,0,20.0,20.0,20.0,21.0,21.0,22.0,22.0,22.0,0,23.0,23.0,23.0,23.5,25.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,5.5,0,0,0,5.5,5.75,5.75,2.875,0,0,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Ernesto tinto tetra,0,0,0,0,0,0,6.5,6.5,0,0,6.5,6.5,0,6.5,7.0,0,0,3.5,7.5,0,0,8.5,4.25,8.5,8.5,0,8.5,9.5,9.5,0,9.5,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,7.0,0,7.0,7.0,0,0,0,0,0,0,0,3.25,6.5,6.5,6.5,7.0,7.5,7.5,0,4.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,9.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,6.0,12.0,12.0,12.0,13.0,13.0,13.0,1.0833333333333333,1.0833333333333333,13.0,13.0,13.0,13.0,0
Termidor Bonarda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arriero Rosado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar de Arenas tinto tetra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uvita tinto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordolino rosado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vino Caupolican tto,0,0,0,0,0,0,0,1.75,0.875,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vino Caupolican bco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talacasto blanco dulce,0,0,0,0,0,0,0,0,0,2.5,2.5,1.25,2.5,2.5,2.5,3.0,3.0,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toro Rosado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,6.0,6.5,6.5,3.25,6.5,0,6.5,7.0,8.0,8.0,0,0,4.25,8.5,8.5,8.5,0,9.0,9.0,9.0,9.0,9.5,9.5,9.5,9.5,10.0,10.0,5.0,11.0,12.0,12.0,6.0,12.0,13.0,13.0,13.0,13.0,14.0,7.0,0,14.0,14.0,7.0,15.0,15.0,15.0,15.0,15.0,15.0,7.5,15.0,0
Don Ernesto blanco tetra (No Tiene),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,4.75,2.375,4.75,4.75,4.75,4.75,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,7.0,7.0,7.0,7.0,7.0,7.0,3.5,7.5,7.5,7.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,4.25,9.0,10.0,10.0,11.0,1.8333333333333333,11.0,11.0,12.0,4.0,12.0,12.0,12.0,6.0,6.0,6.5,13.0,13.0,0,13.0,6.5,13.0,13.0,0,0
