fecha,precio,cantidad
21/08/2008,5.0,1.0
29/08/2008,5.0,1.0
29/08/2008,5.0,1.0
04/09/2008,5.0,1.0
11/09/2008,5.0,1.0
21/09/2008,5.0,1.0
22/09/2008,5.0,1.0
25/09/2008,5.0,1.0
04/10/2008,5.0,1.0
06/10/2008,5.0,1.0
06/12/2008,5.0,1.0
18/04/2009,5.0,1.0
02/05/2009,5.0,1.0
06/05/2009,5.0,1.0
13/05/2009,5.0,1.0
13/05/2009,5.0,1.0
17/06/2009,5.0,1.0
10/07/2009,5.0,2.0
17/07/2009,5.0,1.0
17/07/2009,5.0,1.0
04/08/2009,5.0,1.0
05/08/2009,5.0,1.0
10/08/2009,5.0,1.0
25/08/2009,5.0,1.0
20/11/2010,5.0,2.0
22/11/2010,5.0,2.0
14/01/2011,5.0,1.0
18/01/2011,5.0,1.0
22/01/2011,5.0,1.0
29/06/2011,5.0,1.0
17/09/2011,10.0,1.0
12/01/2012,10.0,1.0
12/03/2012,5.0,2.0
21/03/2012,5.0,1.0
21/03/2012,5.0,2.0
02/04/2012,5.0,2.0
28/05/2012,5.0,1.0
02/06/2012,5.0,2.0
20/06/2012,5.0,2.0
19/07/2012,5.0,1.0
10/08/2012,5.0,3.0
06/12/2012,5.0,2.0
18/12/2012,5.0,2.0
24/12/2012,5.0,2.0
30/12/2012,5.0,1.0
10/01/2013,5.0,1.0
17/01/2013,5.0,2.0
22/01/2013,5.0,3.0
08/03/2013,10.0,1.0
13/03/2013,10.0,1.0
16/03/2013,10.0,1.0
02/04/2013,10.0,1.0
10/04/2013,10.0,1.0
04/06/2013,5.0,2.0
24/06/2013,5.0,1.0
03/07/2013,5.0,2.0
12/07/2013,5.0,3.0
02/09/2013,10.0,1.0
03/09/2013,10.0,1.0
02/10/2013,10.0,3.0
26/11/2013,10.0,1.0
01/12/2013,10.0,1.0
28/12/2013,10.0,1.0
20/01/2014,10.0,2.0
14/05/2014,10.0,2.0
03/06/2014,10.0,1.0
30/08/2014,10.0,1.0
12/09/2014,10.0,1.0
29/09/2014,10.0,1.0
16/11/2014,10.0,3.0
20/12/2014,10.0,2.0
28/12/2014,10.0,1.0
03/01/2015,10.0,1.0
30/05/2015,10.0,3.0
26/06/2015,10.0,1.0
05/09/2015,10.0,2.0
08/10/2015,10.0,2.0
29/10/2015,10.0,2.0
