fecha,precio,cantidad
03/08/2008,3.0,1.0
04/08/2008,3.0,1.0
05/08/2008,3.0,1.0
05/08/2008,3.0,1.0
06/08/2008,3.0,1.0
06/08/2008,3.0,1.0
06/08/2008,3.0,1.0
07/08/2008,3.0,2.0
07/08/2008,3.0,1.0
08/08/2008,3.0,1.0
09/08/2008,3.0,1.0
09/08/2008,3.0,2.0
10/08/2008,3.0,2.0
10/08/2008,3.0,1.0
11/08/2008,3.0,1.0
12/08/2008,3.0,2.0
13/08/2008,3.0,1.0
15/08/2008,3.0,1.0
16/08/2008,3.0,1.0
17/08/2008,3.0,2.0
19/08/2008,3.0,2.0
20/08/2008,3.0,2.0
24/08/2008,3.0,1.0
24/08/2008,3.0,2.0
24/08/2008,3.0,1.0
27/08/2008,3.0,1.0
27/08/2008,3.0,1.0
28/08/2008,3.0,1.0
29/08/2008,3.0,1.0
30/08/2008,3.0,1.0
30/08/2008,3.0,1.0
31/08/2008,3.0,1.0
31/08/2008,3.0,1.0
02/09/2008,3.0,1.0
03/09/2008,3.0,1.0
04/09/2008,3.0,1.0
06/09/2008,3.0,1.0
11/09/2008,3.0,2.0
12/09/2008,3.0,1.0
12/09/2008,3.0,1.0
14/09/2008,3.0,1.0
15/09/2008,3.0,1.0
16/09/2008,3.0,1.0
17/09/2008,3.0,1.0
20/09/2008,3.0,1.0
24/09/2008,3.0,1.0
25/09/2008,3.0,2.0
26/09/2008,3.0,2.0
27/09/2008,3.0,2.0
27/09/2008,3.0,1.0
29/09/2008,3.0,1.0
01/10/2008,3.0,1.0
03/10/2008,3.0,1.0
04/10/2008,3.0,1.0
06/10/2008,3.0,1.0
06/10/2008,3.0,1.0
08/10/2008,3.0,2.0
09/10/2008,3.0,1.0
09/10/2008,3.0,1.0
10/10/2008,3.0,2.0
11/10/2008,3.0,2.0
12/10/2008,3.0,1.0
12/10/2008,3.0,1.0
14/10/2008,3.0,1.0
16/10/2008,3.0,1.0
17/10/2008,3.0,1.0
18/10/2008,3.0,1.0
19/10/2008,3.0,2.0
20/10/2008,3.0,1.0
22/10/2008,3.0,1.0
22/10/2008,3.0,2.0
24/10/2008,3.0,1.0
24/10/2008,3.0,1.0
24/10/2008,3.0,1.0
25/10/2008,3.0,1.0
25/10/2008,3.0,2.0
27/10/2008,3.0,1.0
27/10/2008,3.0,1.0
28/10/2008,3.0,1.0
29/10/2008,3.0,1.0
30/10/2008,3.0,2.0
01/11/2008,3.0,2.0
01/11/2008,3.0,1.0
03/11/2008,3.0,1.0
03/11/2008,3.0,2.0
03/11/2008,3.0,1.0
03/11/2008,3.0,1.0
04/11/2008,3.0,1.0
04/11/2008,3.0,1.0
06/11/2008,3.0,2.0
07/11/2008,3.0,2.0
08/11/2008,3.0,2.0
10/11/2008,3.0,2.0
11/11/2008,3.0,2.0
14/11/2008,3.0,1.0
15/11/2008,3.0,1.0
17/11/2008,3.0,1.0
19/11/2008,3.0,1.0
22/11/2008,3.0,1.0
22/11/2008,3.0,2.0
22/11/2008,3.0,2.0
26/11/2008,3.0,1.0
26/11/2008,3.0,1.0
28/11/2008,3.0,1.0
04/12/2008,3.0,2.0
04/12/2008,3.0,5.0
05/12/2008,3.0,1.0
08/12/2008,3.0,1.0
14/12/2008,3.0,1.0
17/12/2008,3.0,5.0
19/12/2008,3.0,1.0
21/12/2008,3.0,1.0
22/12/2008,3.0,1.0
23/12/2008,3.0,3.0
23/12/2008,3.0,1.0
24/12/2008,3.0,1.0
24/12/2008,3.0,1.0
24/12/2008,3.0,2.0
24/12/2008,3.0,2.0
25/12/2008,3.0,1.0
27/12/2008,3.0,1.0
27/12/2008,3.0,2.0
27/12/2008,3.0,1.0
30/12/2008,3.0,2.0
30/12/2008,3.0,1.0
31/12/2008,3.0,5.0
31/12/2008,3.0,1.0
31/12/2008,3.0,3.0
31/12/2008,3.0,1.0
31/12/2008,3.0,1.0
31/12/2008,3.0,2.0
31/12/2008,3.0,2.0
31/12/2008,3.0,1.0
31/12/2008,3.0,3.0
03/01/2009,3.0,5.0
07/01/2009,3.0,2.0
10/01/2009,3.0,2.0
10/01/2009,3.0,1.0
16/01/2009,3.0,1.0
18/01/2009,3.0,1.0
18/01/2009,3.0,1.0
18/01/2009,3.0,1.0
24/01/2009,3.0,1.0
25/01/2009,3.0,2.0
29/01/2009,3.0,1.0
29/01/2009,3.0,1.0
30/01/2009,3.0,1.0
01/02/2009,3.0,1.0
01/02/2009,3.0,1.0
02/02/2009,3.0,2.0
03/02/2009,3.0,1.0
06/02/2009,3.0,1.0
08/02/2009,3.0,2.0
08/02/2009,3.0,1.0
11/02/2009,3.0,1.0
12/02/2009,3.0,1.0
13/02/2009,3.0,2.0
14/02/2009,3.0,1.0
15/02/2009,3.0,1.0
24/02/2009,3.0,1.0
05/03/2009,3.0,1.0
07/03/2009,3.0,3.0
08/03/2009,3.0,2.0
10/03/2009,3.0,1.0
13/03/2009,3.0,1.0
13/03/2009,3.0,5.0
21/03/2009,3.0,2.0
21/03/2009,3.0,3.0
26/03/2009,3.0,1.0
27/03/2009,3.0,1.0
28/03/2009,3.0,3.0
29/03/2009,3.0,1.0
01/04/2009,3.0,1.0
04/04/2009,3.0,1.0
11/04/2009,3.0,2.0
15/04/2009,3.0,1.0
05/05/2009,3.0,1.0
05/05/2009,3.0,1.0
05/05/2009,3.0,1.0
05/05/2009,3.0,1.0
08/05/2009,3.0,2.0
13/05/2009,3.0,1.0
15/05/2009,3.0,1.0
16/05/2009,3.0,2.0
17/05/2009,3.0,1.0
19/05/2009,3.0,1.0
20/05/2009,3.0,1.0
20/05/2009,3.0,5.0
24/05/2009,3.0,1.0
25/05/2009,3.0,1.0
28/05/2009,3.0,1.0
30/05/2009,3.0,2.0
01/06/2009,3.0,1.0
02/06/2009,3.0,3.0
04/06/2009,3.0,2.0
05/06/2009,3.0,1.0
07/06/2009,3.0,1.0
14/06/2009,3.5,1.0
18/06/2009,3.5,5.0
19/06/2009,3.5,1.0
19/06/2009,3.5,2.0
20/06/2009,3.5,3.0
20/06/2009,3.5,1.0
23/06/2009,3.5,1.0
27/06/2009,3.5,2.0
27/06/2009,3.5,1.0
30/06/2009,3.0,1.0
02/07/2009,3.0,1.0
02/07/2009,3.0,10.0
13/07/2009,3.0,1.0
15/07/2009,3.0,1.0
16/07/2009,3.0,1.0
17/07/2009,3.0,1.0
17/07/2009,3.0,1.0
18/07/2009,3.0,2.0
18/07/2009,3.0,2.0
18/07/2009,3.0,1.0
19/07/2009,3.0,2.0
19/07/2009,3.0,1.0
19/07/2009,3.0,1.0
19/07/2009,3.0,1.0
20/07/2009,3.0,1.0
21/07/2009,3.0,2.0
22/07/2009,3.0,2.0
23/07/2009,3.0,1.0
29/07/2009,3.0,1.0
30/07/2009,3.0,10.0
30/07/2009,3.0,1.0
01/08/2009,3.0,2.0
01/08/2009,3.0,1.0
02/08/2009,3.0,1.0
03/08/2009,3.0,1.0
03/08/2009,3.0,1.0
04/08/2009,3.0,1.0
07/08/2009,3.0,2.0
09/08/2009,3.0,1.0
09/08/2009,3.0,1.0
13/08/2009,3.0,1.0
14/08/2009,3.0,2.0
14/08/2009,3.0,1.0
16/08/2009,3.0,1.0
16/08/2009,3.0,1.0
16/08/2009,3.0,1.0
16/08/2009,3.0,1.0
17/08/2009,3.0,1.0
17/08/2009,3.0,1.0
19/08/2009,3.0,2.0
21/08/2009,3.0,3.0
21/08/2009,3.0,1.0
24/08/2009,3.0,2.0
24/08/2009,3.0,1.0
24/08/2009,3.0,1.0
24/08/2009,3.0,1.0
25/08/2009,3.0,2.0
25/08/2009,3.0,1.0
26/08/2009,3.5,1.0
27/08/2009,3.5,10.0
28/08/2009,3.5,1.0
31/08/2009,3.5,2.0
03/09/2009,3.5,1.0
04/09/2009,3.5,1.0
04/09/2009,3.5,1.0
06/09/2009,3.5,1.0
07/09/2009,3.5,1.0
02/11/2010,4.75,1.0
04/11/2010,4.75,1.0
07/11/2010,4.75,2.0
10/11/2010,4.75,2.0
11/11/2010,4.75,1.0
12/11/2010,4.75,1.0
14/11/2010,4.75,1.0
13/11/2010,4.75,1.0
19/11/2010,4.75,1.0
19/11/2010,4.75,1.0
19/11/2010,4.75,1.0
20/11/2010,4.75,1.0
20/11/2010,4.75,1.0
21/11/2010,4.75,1.0
21/11/2010,4.75,1.0
21/11/2010,4.75,3.0
22/11/2010,4.75,2.0
22/11/2010,4.75,1.0
23/11/2010,4.75,1.0
23/11/2010,4.75,1.0
23/11/2010,4.75,1.0
24/11/2010,4.75,1.0
24/11/2010,4.75,1.0
24/11/2010,4.75,1.0
25/11/2010,4.75,1.0
25/11/2010,4.75,1.0
27/11/2010,4.75,1.0
27/11/2010,4.75,1.0
29/11/2010,4.75,1.0
29/11/2010,4.75,1.0
29/11/2010,4.75,1.0
30/11/2010,4.75,1.0
01/12/2010,4.75,1.0
02/12/2010,4.75,1.0
02/12/2010,4.75,1.0
05/12/2010,4.75,1.0
05/12/2010,4.75,1.0
05/12/2010,4.75,1.0
06/12/2010,4.75,1.0
06/12/2010,4.75,1.0
09/12/2010,4.75,1.0
10/12/2010,4.75,1.0
02/01/2011,4.75,1.0
21/10/2011,5.0,1.0
03/12/2011,5.0,1.0
04/12/2011,5.0,1.0
04/12/2011,5.0,1.0
04/12/2011,5.0,2.0
06/12/2011,5.0,1.0
06/12/2011,5.0,1.0
07/12/2011,5.0,1.0
09/12/2011,5.0,1.0
12/12/2011,5.0,1.0
