dia,ventas
2007-12-22,3.0
2007-12-23,2.0
2007-12-30,1.0
2008-01-05,2.0
2008-01-14,1.0
2008-01-16,1.0
2008-01-18,2.0
2008-01-20,1.0
2008-01-21,1.0
2008-01-30,1.0
2011-03-05,1.0
2011-03-11,3.0
2011-03-13,2.0
2011-03-21,1.0
2011-03-24,3.0
2011-03-26,1.0
2011-03-31,1.0
2011-04-03,5.0
2011-04-05,1.0
2011-04-06,2.0
2011-04-10,2.0
2011-04-11,2.0
2011-04-29,2.0
2011-05-11,1.0
2011-05-14,8.0
2011-05-28,1.0
2011-05-30,1.0
2011-05-31,1.0
2011-06-04,4.0
2011-06-13,1.0
2011-06-16,1.0
2011-07-01,1.0
2011-07-02,3.0
2011-07-07,7.0
2011-07-08,4.0
2011-07-16,3.0
2011-07-21,2.0
2011-07-23,1.0
2011-07-24,2.0
2011-07-30,1.0
2011-07-31,2.0
2011-08-03,2.0
2011-08-08,1.0
2011-08-10,1.0
2011-08-18,4.0
2011-08-19,1.0
2011-08-23,3.0
2011-08-26,1.0
2011-08-27,4.0
2011-08-30,3.0
2011-08-31,1.0
2011-09-08,1.0
2011-09-17,1.0
2011-09-24,2.0
2011-09-27,24.0
2011-09-29,4.0
2011-09-30,1.0
2011-10-03,1.0
2011-10-07,2.0
2011-10-11,2.0
2011-10-19,1.0
2011-10-20,3.0
2011-11-17,2.0
2011-11-19,1.0
2011-11-20,1.0
2011-11-21,2.0
2011-11-23,2.0
2011-11-28,2.0
2011-12-02,2.0
2011-12-03,1.0
2011-12-13,3.0
2011-12-18,3.0
2011-12-22,1.0
2011-12-29,1.0
2012-01-07,5.0
2012-01-08,5.0
2012-01-09,2.0
2012-01-11,2.0
2012-01-13,1.0
2012-01-15,2.0
2012-01-17,1.0
2012-01-19,5.0
2012-01-20,1.0
2012-01-23,2.0
2012-01-24,4.0
2012-01-27,1.0
2012-02-01,1.0
2012-02-03,1.0
2012-02-05,2.0
2012-02-07,1.0
2012-02-08,6.0
2012-02-29,1.0
2012-03-03,1.0
2012-03-09,3.0
2012-03-15,1.0
2012-03-17,2.0
2012-03-19,1.0
2012-03-21,1.0
2012-03-22,6.0
2012-03-27,1.0
2012-03-30,4.0
2012-04-05,1.0
2012-04-06,1.0
2012-04-07,1.0
2012-04-08,2.0
2012-04-09,2.0
2012-04-11,1.0
2012-04-17,2.0
2012-04-18,2.0
2012-04-19,2.0
2012-04-20,4.0
2012-04-21,4.0
2012-04-24,1.0
2012-05-01,4.0
2012-05-02,1.0
2012-05-09,2.0
2012-05-12,2.0
2012-05-15,1.0
2012-05-19,1.0
2012-05-24,3.0
2012-06-01,1.0
2012-06-02,2.0
2012-06-04,1.0
2012-06-16,3.0
2012-06-19,2.0
2012-06-22,5.0
2012-06-26,3.0
2012-07-04,2.0
2012-07-10,1.0
2012-07-11,1.0
2012-07-12,2.0
2012-07-13,1.0
2012-07-15,2.0
2012-07-30,2.0
2012-08-08,2.0
2012-08-10,1.0
2012-09-04,1.0
2012-09-16,1.0
2012-09-17,1.0
2012-09-19,3.0
2012-09-26,2.0
2012-12-11,1.0
2012-12-26,2.0
2013-03-15,1.0
2013-03-21,1.0
2013-03-22,8.0
2013-04-01,1.0
2013-04-11,1.0
2013-04-12,5.0
2013-05-29,1.0
2013-07-17,1.0
2013-07-25,4.0
