producto,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Corona 330 cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,7.0,7.0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,28.0,28.0,28.0,28.0,0,28.0,0,0
Stella Artois 1 lt (Cerveza),0,0,0,0,0,0,0,2.5,1.6666666666666667,2.5,2.5,5.25,1.8333333333333333,5.5,3.0,3.0,1.0416666666666667,6.25,6.5,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,4.125,8.25,4.25,2.8333333333333335,3.1666666666666665,4.75,9.5,2.375,4.75,10.5,10.5,10.5,5.25,6.0,6.0,2.0,12.0,6.0,14.0,7.0,7.0,14.0,5.0,15.0,15.0,16.5,16.5,16.5,16.5,16.5,8.25,5.666666666666667,19.0,6.333333333333333,3.8,10.5,21.0,21.0,21.0,7.333333333333333,11.0,24.0,12.0,24.0,12.0,27.0,13.5,10.333333333333334,15.0,30.0,30.0,30.0,15.0,33.0,33.0,16.5,33.0,18.0,36.0,36.0,38.0,0,0
Bieckert 1 lt (Cerveza),0,0,0,0,0,0,0,1.375,2.75,0.9166666666666666,2.75,1.375,0.6875,3.0,1.5,1.75,1.75,1.75,1.75,3.5,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,1.3125,5.25,0,0,5.0,5.0,5.5,2.75,6.0,6.0,3.0,6.0,6.5,1.0833333333333333,6.5,3.5,3.5,7.0,7.0,7.5,3.75,7.5,3.75,3.75,4.0,4.5,9.0,1.8,2.5,10.0,10.0,10.0,11.0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quilmes Night monjita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,12.0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,16.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0
Cruzur cerveza de mendiolaza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,9.0,9.0,18.0,18.0,0,0
Quilmes 1890,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.25,4.25,4.25,4.5,4.5,5.5,5.5,5.75,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,7.75,6.25,7.75,8.0,8.25,8.25,0,8.75,9.5,9.5,0,0,0,9.0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,9.0,9.0,0,0,0,15.0,7.5,15.0,5.333333333333333,0,0,0,8.75,0,0,0,5.833333333333333,20.0,23.0,0,22.0,22.0,22.0,0,0,0,24.0,24.0,24.0,27.0,27.0,27.0,0,0
Imperial Negra,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,7.5,0,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,17.0,17.0,0,17.0,0,18.0,18.0,0,0,0,0,0,0,0,0,6.5,6.5,0,0,6.75,13.5,13.5,0,0,0,0,0,0,0,0,0,19.0,19.0,0,10.5,21.0,0,0,0,0,23.0,23.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,32.0,32.0,32.0,32.0,0,0
Quilmes lata 354 cc,0,0,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.75,2.75,2.75,2.75,2.75,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,3.75,3.75,3.75,4.5,4.5,0,0,4.5,4.75,2.375,4.75,2.375,2.75,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,7.0,7.0,7.0,7.5,7.5,7.5,7.5,7.5,3.75,7.5,8.0,8.0,8.0,9.0,9.0,4.5,9.0,3.1666666666666665,4.75,10.0,3.3333333333333335,10.0,10.0,10.0,3.3333333333333335,10.0,2.6,13.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0
Isenbeck (Cerveza),0,0,0,0,0,0,0,1.0,0.75,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,1.3333333333333333,4.0,2.625,2.625,4.5,4.5,2.25,4.5,6.0,3.0,0.6666666666666666,1.5,1.625,7.0,7.0,7.0,7.0,7.0,7.0,1.5,7.5,4.0,8.0,8.0,1.125,9.0,4.5,3.0,9.0,9.0,0.75,10.0,10.0,10.0,11.0,11.0,2.75,5.5,2.0,12.0,12.0,12.0,6.0,6.0,6.0,12.0,12.0,14.0,14.0,3.75,3.75,17.0,5.666666666666667,8.5,17.0,17.0,17.0,8.5,8.5,8.5,0
Baltica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,3.75,0,0,7.5,0,0,0,0,0,10.0,0,0,0,12.0,12.0,0,12.0,0,0,4.666666666666667,0,0,0,0,0,0,17.0,8.5,0,18.0,0,0,0,0
