dia,ventas
2007-07-07,1.0
2007-08-25,1.0
2007-09-14,1.0
2007-09-21,1.0
2007-10-03,1.0
2008-01-12,1.0
2008-05-02,1.0
2008-05-30,1.0
2008-06-07,1.0
2008-07-09,1.0
2008-07-25,1.0
2008-12-07,2.0
2009-03-29,1.0
2009-05-15,1.0
2009-05-16,1.0
2009-05-30,1.0
2009-05-31,1.0
2009-06-06,1.0
2009-06-20,1.0
2009-07-04,2.0
2009-07-24,1.0
2009-08-02,2.0
2009-09-06,1.0
2010-12-03,1.0
2011-04-29,1.0
2011-06-07,1.0
2012-04-03,1.0
2012-06-02,1.0
2012-06-07,1.0
2012-07-07,1.0
2013-07-08,1.0
2013-07-19,1.0
2013-09-20,1.0
2013-10-05,1.0
2014-06-14,1.0
2014-08-17,1.0
2014-08-23,1.0
2015-03-19,1.0
