dia,ventas
2007-07-01,29.0
2007-07-02,17.0
2007-07-03,17.0
2007-07-04,15.0
2007-07-05,24.0
2007-07-06,29.0
2007-07-07,42.0
2007-07-08,31.0
2007-07-09,30.0
2007-07-10,10.0
2007-07-11,24.0
2007-07-12,18.0
2007-07-13,40.0
2007-07-14,60.0
2007-07-15,54.0
2007-07-16,10.0
2007-07-17,16.0
2007-07-18,19.0
2007-07-19,24.0
2007-07-20,60.0
2007-07-21,55.0
2007-07-22,31.0
2007-07-23,11.0
2007-07-24,10.0
2007-07-25,9.0
2007-07-26,13.0
2007-07-27,13.0
2007-07-28,44.0
2007-07-29,41.0
2007-07-30,14.0
2007-07-31,27.0
2007-08-01,7.0
2007-08-02,12.0
2007-08-03,15.0
2007-08-04,66.0
2007-08-05,64.0
2007-08-06,3.0
2007-08-07,14.0
2007-08-08,15.0
2007-08-09,24.0
2007-08-10,23.0
2007-08-11,65.0
2007-08-12,26.0
2007-08-13,7.0
2007-08-14,16.0
2007-08-15,8.0
2007-08-16,7.0
2007-08-17,9.0
2007-08-18,46.0
2007-08-19,53.0
2007-08-20,44.0
2007-08-21,10.0
2007-08-22,17.0
2007-08-23,12.0
2007-08-24,7.0
2007-08-25,61.0
2007-08-26,41.0
2007-08-27,14.0
2007-08-28,13.0
2007-08-29,9.0
2007-08-30,17.0
2007-08-31,45.0
2007-09-01,132.0
2007-09-02,38.0
2007-09-03,9.0
2007-09-04,14.0
2007-09-05,20.0
2007-09-06,14.0
2007-09-07,29.0
2007-09-08,60.0
2007-09-09,33.0
2007-09-10,12.0
2007-09-11,22.0
2007-09-12,17.0
2007-09-13,8.0
2007-09-14,27.0
2007-09-15,34.0
2007-09-16,27.0
2007-09-17,1.0
2007-09-19,15.0
2007-09-20,16.0
2007-09-21,23.0
2007-09-22,44.0
2007-09-23,23.0
2007-09-24,9.0
2007-09-25,16.0
2007-09-26,32.0
2007-09-27,12.0
2007-09-28,26.0
2007-09-29,41.0
2007-09-30,41.0
2007-10-01,13.0
2007-10-02,16.0
2007-10-03,21.0
2007-10-04,8.0
2007-10-05,29.0
2007-10-06,66.0
2007-10-07,54.0
2007-10-08,7.0
2007-10-09,18.0
2007-10-10,12.0
2007-10-11,7.0
2007-10-12,15.0
2007-10-13,64.0
2007-10-14,58.0
2007-10-15,20.0
2007-10-16,1.0
2007-10-17,24.0
2007-10-18,13.0
2007-10-19,52.0
2007-10-20,56.0
2007-10-21,92.0
2007-10-22,11.0
2007-10-23,8.0
2007-10-24,23.0
2007-10-25,20.0
2007-10-26,27.0
2007-10-27,88.0
2007-10-28,41.0
2007-10-29,25.0
2007-10-30,15.0
