producto,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Aquarius 1500cc,0,0,0,0,0,0,0,0,0,11.0,16.0,14.0,11.0,17.0,13.0,7.0,10.0,8.0,22.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,32.0,18.0,32.0,23.0,15.0,21.0,7.0,17.0,41.0,30.0,29.0,31.0,42.0,13.0,16.0,12.0,18.0,20.0,13.0,12.0,19.0,25.0,53.0,25.0,17.0,14.0,23.0,16.0,10.0,8.0,7.0,19.0,13.0,31.0,40.0,59.0,40.0,17.0,22.0,7.0,38.0,19.0,26.0,40.0,21.0,63.0,69.0,71.0,44.0,17.0,25.0,37.0,22.0,19.0,23.0,28.0,32.0,26.0,2.0,0
We 1500cc by Ser con gas (Damajuana),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,39.0,28.0,36.0,11.0,9.0,7.0,6.0,8.0,11.0,18.0,33.0,24.0,27.0,60.0,35.0,11.0,36.0,15.0,15.0,17.0,15.0,17.0,22.0,27.0,32.0,12.0,25.0,16.0,8.0,11.0,10.0,1.0,9.0,4.0,4.0,4.0,6.0,20.0,10.0,17.0,1.0,1.0,0,1.0,1.0,0,38.0,2.0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,0
We 2250cc by Ser con gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,23.0,5.0,15.0,4.0,10.0,3.0,8.0,8.0,30.0,24.0,24.0,30.0,41.0,17.0,18.0,8.0,9.0,13.0,13.0,11.0,11.0,12.0,10.0,13.0,5.0,9.0,7.0,0,3.0,8.0,1.0,2.0,4.0,2.0,1.0,4.0,2.0,0,1.0,1.0,0,0,0,0,0,0,6.0,22.0,9.0,0,3.0,17.0,0,3.0,12.0,8.0,7.0,11.0,3.0,0
Soda Bichy,0,0,0,0,0,0,0,117.0,126.0,129.0,176.0,181.0,178.0,110.0,146.0,157.0,106.0,80.0,73.0,154.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,154.0,232.0,157.0,99.0,113.0,96.0,133.0,95.0,117.0,132.0,135.0,143.0,50.0,52.0,63.0,1.0,42.0,76.0,144.0,93.0,73.0,128.0,71.0,33.0,60.0,165.0,140.0,104.0,104.0,82.0,87.0,68.0,48.0,75.0,60.0,97.0,94.0,162.0,133.0,48.0,91.0,23.0,44.0,44.0,65.0,79.0,87.0,64.0,56.0,103.0,88.0,38.0,67.0,49.0,48.0,52.0,52.0,60.0,55.0,78.0,14.0,0
xxxxxxx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,7.0,0,0,34.0,0,0,0,0,0,0,0,102.0,160.0,158.0,73.0,111.0,32.0,0,0,24.0,2.0,53.0,16.0,0,2.0,1.0,1.0,1.0,0,0,0,38.0,14.0,0,1.0,0,26.0,2.0,17.0,0,31.0,8.0,0,1.0,0,0,0,2.0,0,59.0,60.0,8.0,12.0,4.0,0,0,1.0,0,0,0,0
Limonada Terma 400cc,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,6.0,5.0,6.0,6.0,7.0,1.0,0,0,0,0,0,1.0,0,5.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,5.0,11.0,2.0,1.0,0,0,0
Agua Aguita bidon,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,23.0,27.0,22.0,33.0,10.0,22.0,20.0,24.0,32.0,26.0,23.0,33.0,26.0,35.0,55.0,38.0,32.0,40.0,34.0,29.0,45.0,27.0,25.0,29.0,39.0,40.0,55.0,48.0,32.0,28.0,25.0,32.0,25.0,33.0,27.0,15.0,23.0,30.0,32.0,28.0,19.0,48.0,74.0,65.0,68.0,73.0,69.0,65.0,66.0,15.0,0
Agua Magna 2 lts,0,0,0,0,0,0,0,83.0,76.0,74.0,85.0,104.0,81.0,41.0,68.0,56.0,48.0,33.0,26.0,39.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,60.0,70.0,72.0,48.0,74.0,42.0,34.0,47.0,32.0,24.0,24.0,32.0,36.0,39.0,35.0,9.0,25.0,18.0,25.0,15.0,22.0,23.0,22.0,18.0,28.0,31.0,24.0,23.0,10.0,21.0,16.0,7.0,8.0,12.0,17.0,11.0,15.0,24.0,30.0,24.0,17.0,21.0,13.0,13.0,18.0,27.0,35.0,32.0,31.0,34.0,24.0,14.0,19.0,13.0,9.0,8.0,6.0,4.0,6.0,16.0,0,0
Agua Bonaqua 1500cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,21.0,50.0,51.0,28.0,33.0,43.0,60.0,60.0,53.0,25.0,48.0,44.0,15.0,17.0,9.0,7.0,17.0,7.0,5.0,10.0,7.0,11.0,0,0,0,0,0,0,0,2.0,0,0,0,2.0,13.0,15.0,2.0,1.0,1.0,0,4.0,3.0,13.0,3.0,11.0,10.0,7.0,3.0,0,12.0,6.0,1.0,0,1.0,0,4.0,0,0,0
Levite y levite cero,0,0,0,0,0,0,0,84.0,74.0,83.0,97.0,87.0,81.0,54.0,69.0,55.0,41.0,39.0,65.0,87.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,110.0,99.0,136.0,67.0,86.0,77.0,64.0,54.0,68.0,65.0,86.0,73.0,122.0,146.0,155.0,43.0,83.0,67.0,49.0,40.0,43.0,55.0,75.0,75.0,81.0,150.0,98.0,72.0,66.0,48.0,38.0,38.0,36.0,38.0,66.0,75.0,62.0,154.0,159.0,75.0,53.0,53.0,38.0,37.0,46.0,41.0,41.0,64.0,54.0,79.0,100.0,18.0,53.0,57.0,29.0,37.0,53.0,67.0,54.0,69.0,11.0,0
Agua Bonaqua 500 cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,4.0,7.0,4.0,7.0,5.0,2.0,0,0,0,2.0,12.0,5.0,13.0,10.0,6.0,5.0,8.0,3.0,0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,18.0,2.0,7.0,3.0,9.0,4.0,28.0,6.0,71.0,8.0,1.0,0
Villavicencio 1500cc,0,0,0,0,0,0,0,4.0,8.0,7.0,15.0,7.0,0,0,0,5.0,6.0,3.0,4.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,14.0,9.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,5.0,9.0,3.0,1.0,0,2.0,1.0,0,2.0,2.0,7.0,2.0,2.0,12.0,0,0,3.0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,2.0,0,0,1.0,0,3.0,0
Agua Fuente del Milagro Favaloro 2l,0,0,0,0,0,0,0,3.0,1.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,8.0,18.0,23.0,12.0,14.0,4.0,10.0,4.0,4.0,2.0,15.0,12.0,7.0,17.0,10.0,8.0,10.0,9.0,2.0,0,2.0,3.0,2.0,0,2.0,0,15.0,1.0,0,1.0,2.0,0,0,0,0,0,0,0
