producto,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Cria de Cosechas Magnum tto,0,0,0,0,0,0,0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.75,5.75,2.875,6.0,7.5,2.8333333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,11.5,11.5,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.0,11.0,11.0,11.0,11.0,11.0,11.0,6.0,12.0,12.0,12.5,12.5,12.5,12.5,14.0,14.0,7.0,14.0,14.0,14.0,14.0,14.0,16.0,18.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,21.0,21.0,21.0,21.0,10.5,21.0,21.0,21.0,21.0,21.0,21.0,0,0,0,0,0,0
Reservado Concha y Toro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,9.5,9.5,9.5,9.5,0,13.0,13.0,0,0,13.0,13.0,0,0,0,32.0,32.0,38.0,0,38.0,0,0,35.0,5.833333333333333,0
Fond de Cave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,3.75,3.75,8.0,4.25,8.5,0,0,0,0,0,0,0,0,9.5,9.5,4.75,0,0,0,0,0,0,12.0,0,0,0,52.0,52.0,53.0,0,53.0,0,53.0,53.0,53.0,60.0,60.0,0,65.0,65.0,69.0,69.0,69.0,77.0,77.0,77.0,0,0,77.0,77.0,77.0,86.0,86.0,86.0,86.0,0,0
Michel Torino seleccion bco,0,0,0,0,0,0,0,3.5,3.5,3.75,3.75,3.75,3.75,3.75,0,3.75,3.75,3.75,3.75,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,5.75,5.75,5.75,5.75,0.4791666666666667,5.75,5.75,5.75,0.9583333333333334,5.75,5.75,5.75,5.75,3.5,7.25,7.25,7.25,7.25,7.25,7.25,0,8.0,8.0,8.0,8.0,10.0,10.0,9.0,9.0,9.5,9.5,9.5,4.75,0,10.0,10.0,10.5,10.5,10.5,10.5,11.0,11.0,11.0,12.0,12.0,12.0,0,0,0,0,13.0,13.0,13.0,0,13.0,13.0,13.0,13.0,13.0,2.1666666666666665,5.0,15.0,0
Viejo Solar Magnum Canciller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,12.5,12.5,12.5,14.0,14.0,0,14.0,14.0,14.0,15.5,15.5,15.5,15.5,15.5,16.0,16.0,16.5,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viñastr BONARDA 3/4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,2.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,6.75,7.0,6.75,6.75,6.75,3.375,3.5,7.0,7.0,7.0,7.0,7.0,7.0,3.5,7.0,7.0,7.0,7.75,7.75,7.75,8.0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,4.75,9.5,9.5,9.5,12.0,12.0,12.0,12.0,6.0,12.0,13.0,14.5,14.5,14.5,15.0,15.0,15.0,16.0,17.0,18.0,18.0,3.0,18.0,18.0,18.0,18.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,0
Toro Bonarda-Syrah bivarietal,0,0,0,0,0,0,0,4.5,4.5,2.25,4.5,2.375,4.75,2.375,4.75,4.75,5.25,5.25,1.75,6.5,3.25,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,4.25,9.25,9.25,9.5,9.5,9.5,9.5,9.5,9.5,9.5,4.875,9.75,9.75,9.75,9.75,10.0,10.0,10.0,5.0,10.0,10.0,10.0,1.6666666666666667,10.0,5.5,5.5,2.0,12.0,12.0,2.0,2.0,12.0,12.5,12.5,13.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,18.0,18.0,18.0,3.0,18.0,3.0,18.0,18.0,18.0,18.0,18.0,3.0,3.0,3.3333333333333335,20.0,0
Santa Ana blanco,0,0,0,0,0,0,0,1.75,3.5,3.5,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colon Syrah sirah,0,0,0,0,0,0,0,9.5,9.5,0,0,0,0,0,9.5,9.5,9.5,9.5,9.5,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,13.0,13.0,14.5,14.5,0,14.5,14.5,14.5,8.25,8.25,8.25,16.5,0,8.25,16.5,16.5,16.5,0,17.0,17.0,8.5,0,0,0,9.0,18.0,18.0,0,20.0,20.0,20.0,20.0,21.0,0,22.0,22.0,24.0,24.0,24.0,24.0,24.0,0,25.0,0,27.0,13.5,0,28.0,28.0,28.0,30.0,30.0,30.0,15.0,32.0,32.0,0,0,0
Colon Chardonay,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,2.8333333333333335,8.5,9.5,9.5,9.5,9.5,0,9.5,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,14.5,0,0,14.5,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,20.0,20.0,20.0,0,20.0,21.0,21.0,21.0,0,21.0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,30.0,30.0,0,32.0,0,0,0,0
