dia,ventas
2007-08-19,2.0
2007-11-26,1.0
2009-03-10,8.0
2009-03-24,1.0
2009-04-04,1.0
2009-04-08,5.0
2009-04-09,1.0
2009-05-17,2.0
2009-07-04,3.0
2009-08-07,1.0
2010-12-07,1.0
2012-03-17,1.0
2012-06-03,2.0
2012-06-04,2.0
2012-06-05,2.0
2012-06-06,1.0
2012-06-07,1.0
2012-06-08,1.0
2012-06-09,3.0
2012-06-10,2.0
2012-06-11,1.0
2012-06-12,2.0
2012-06-13,1.0
2012-06-14,2.0
2012-06-16,1.0
2012-06-17,2.0
2012-06-18,1.0
2012-06-19,4.0
2012-06-20,1.0
2012-06-22,3.0
2012-07-09,1.0
2012-07-14,5.0
2012-08-01,1.0
2012-08-11,1.0
2012-12-23,1.0
2013-07-22,8.0
2013-07-24,2.0
2013-09-13,1.0
2015-10-18,1.0
