dia,ventas
2007-07-21,1.0
2007-07-23,1.0
2007-08-29,1.0
2007-09-12,1.0
2007-09-13,1.0
2007-09-26,1.0
2007-10-02,1.0
2007-10-03,1.0
2007-10-04,1.0
2007-10-21,1.0
2007-10-22,4.0
2007-10-23,2.0
2007-10-24,1.0
2007-10-25,1.0
2007-10-27,3.0
2007-10-28,2.0
2007-10-30,2.0
2007-11-01,2.0
2007-11-02,1.0
2007-11-06,2.0
2007-11-11,5.0
2007-11-12,2.0
2007-11-14,2.0
2007-11-16,1.0
2007-11-17,2.0
2007-11-18,1.0
2007-11-19,3.0
2007-11-20,2.0
2007-11-21,1.0
2007-11-22,2.0
2007-11-24,1.0
2007-11-25,1.0
2007-11-26,2.0
2007-11-27,3.0
2007-12-08,6.0
2007-12-09,2.0
2007-12-10,2.0
2007-12-15,2.0
2007-12-17,4.0
2007-12-22,4.0
2007-12-24,6.0
2008-01-14,4.0
2008-01-19,1.0
2008-01-21,1.0
2008-01-23,1.0
2008-01-26,1.0
2008-01-28,2.0
2008-02-02,1.0
2008-02-03,1.0
2008-02-16,2.0
2008-02-25,5.0
2008-03-10,1.0
2008-03-18,2.0
2008-03-30,1.0
2008-03-31,4.0
2008-04-12,2.0
2008-04-19,1.0
2008-04-20,2.0
2008-04-23,1.0
2008-04-29,2.0
2008-04-30,2.0
2008-05-11,1.0
2008-05-13,1.0
2008-05-24,1.0
2008-05-26,4.0
2008-05-27,2.0
2008-05-29,2.0
2008-06-02,1.0
2008-06-06,4.0
2008-06-10,4.0
2008-06-11,1.0
2008-06-21,5.0
2008-06-25,2.0
2008-06-26,2.0
2008-06-27,5.0
2008-07-05,1.0
2008-07-16,1.0
2008-07-23,1.0
2008-07-30,4.0
2008-07-31,3.0
2008-08-05,1.0
2008-08-06,1.0
2008-08-07,2.0
2008-08-08,1.0
2008-08-10,2.0
2008-08-11,2.0
2008-08-12,1.0
2008-08-13,2.0
2008-08-14,1.0
2008-08-16,2.0
2008-08-17,2.0
2008-08-18,2.0
2008-08-19,1.0
2008-08-21,2.0
2008-08-22,2.0
2008-08-23,1.0
2008-08-24,2.0
2008-08-25,2.0
2008-08-26,1.0
2008-08-27,2.0
2008-08-29,3.0
2008-08-31,1.0
2008-09-02,5.0
2008-09-03,1.0
2008-09-04,2.0
2008-09-06,2.0
2008-09-08,2.0
2008-09-10,3.0
2008-09-13,1.0
2008-09-16,1.0
2008-09-17,1.0
2008-09-20,1.0
2008-09-22,1.0
2008-09-23,1.0
2008-09-24,1.0
2008-09-25,4.0
2008-09-26,1.0
2008-09-27,1.0
2008-09-29,1.0
2008-09-30,2.0
2008-10-03,1.0
2008-10-04,4.0
2008-10-08,2.0
2008-10-09,2.0
2008-10-13,1.0
2008-10-14,4.0
2008-10-17,2.0
2008-10-20,1.0
2008-10-24,2.0
2008-11-02,1.0
2008-11-04,1.0
2008-11-07,1.0
2008-11-13,3.0
2008-11-23,2.0
2008-11-29,2.0
2008-11-30,1.0
2008-12-02,1.0
2008-12-05,1.0
2008-12-09,1.0
2008-12-10,1.0
2008-12-13,3.0
2008-12-16,1.0
2008-12-17,1.0
2008-12-19,1.0
2008-12-21,1.0
2008-12-22,1.0
2008-12-24,8.0
2008-12-26,1.0
2009-01-25,4.0
2009-01-26,3.0
2009-01-31,2.0
2009-02-04,1.0
2009-02-08,1.0
2009-02-14,1.0
2009-04-03,1.0
2009-04-04,4.0
2009-04-25,2.0
2009-04-27,1.0
2009-04-28,2.0
2009-05-23,1.0
2009-05-24,1.0
2009-05-29,2.0
2009-06-21,1.0
2009-06-25,1.0
2009-06-27,2.0
2009-07-13,2.0
2009-07-18,1.0
2009-07-19,1.0
2009-07-21,1.0
2009-07-30,1.0
2009-08-03,1.0
2009-08-04,1.0
2009-08-20,1.0
2009-08-22,1.0
2009-09-03,1.0
2009-09-05,1.0
2010-11-04,2.0
2010-11-07,1.0
2010-11-08,1.0
2010-11-13,1.0
2010-11-14,1.0
2010-11-22,1.0
2010-11-26,1.0
2010-12-03,1.0
2010-12-04,1.0
2010-12-10,1.0
2010-12-17,1.0
2010-12-30,1.0
2011-01-01,1.0
2011-01-16,1.0
2011-01-17,1.0
2011-01-18,1.0
2011-01-22,1.0
2011-01-24,2.0
2011-02-03,1.0
2011-02-04,1.0
2011-02-10,1.0
2011-03-08,1.0
2011-03-27,1.0
2011-03-28,1.0
2011-03-31,1.0
2011-04-03,1.0
2011-04-11,1.0
2011-04-13,1.0
2011-04-15,1.0
2011-04-20,1.0
2011-04-24,2.0
2011-04-29,1.0
2011-04-30,1.0
2011-05-01,1.0
2011-05-02,1.0
2011-05-03,1.0
2011-05-07,1.0
2011-05-14,1.0
2011-05-15,1.0
2011-06-07,3.0
2011-06-08,1.0
2011-06-19,2.0
2011-06-26,1.0
2011-06-30,2.0
2011-07-16,1.0
2011-09-12,2.0
2011-09-16,1.0
2011-09-25,1.0
2011-10-11,1.0
2011-10-27,1.0
2011-11-06,1.0
2011-12-08,2.0
2011-12-10,1.0
2011-12-12,1.0
2012-01-02,4.0
2012-01-22,1.0
2012-01-23,3.0
2012-01-29,1.0
2012-01-31,1.0
2012-02-01,1.0
2012-02-05,3.0
2012-03-06,1.0
2012-03-12,1.0
2012-03-16,1.0
2012-03-17,2.0
2012-03-28,2.0
2012-03-30,1.0
2012-04-01,1.0
2012-04-04,1.0
2012-04-20,1.0
2012-04-28,2.0
2012-05-02,2.0
2012-05-16,1.0
2012-05-24,1.0
2012-06-01,1.0
2012-06-03,1.0
2012-06-08,1.0
2012-06-17,1.0
2012-07-01,1.0
2012-07-14,1.0
2012-07-30,1.0
2012-08-04,1.0
2012-09-08,2.0
2012-09-22,1.0
2012-10-20,1.0
2012-11-20,1.0
2013-02-25,3.0
2013-03-02,4.0
2013-03-04,2.0
2015-01-26,1.0
2015-01-27,1.0
2015-01-28,1.0
2015-01-29,1.0
2015-08-13,1.0
2015-09-21,1.0
2015-10-23,1.0
