fecha,precio,cantidad
06/08/2008,0.25,1.0
09/08/2008,0.25,1.0
11/08/2008,0.25,1.0
04/09/2008,0.25,2.0
17/09/2008,0.25,2.0
19/09/2008,0.25,1.0
23/09/2008,0.25,1.0
24/09/2008,0.25,2.0
09/10/2008,0.25,1.0
13/10/2008,0.25,1.0
18/10/2008,0.25,3.0
18/10/2008,0.25,1.0
24/10/2008,0.25,1.0
13/11/2008,0.25,1.0
19/11/2008,0.25,1.0
29/11/2008,0.25,1.0
01/12/2008,0.25,1.0
13/12/2008,0.25,2.0
25/12/2008,0.25,3.0
30/12/2008,0.25,1.0
30/12/2008,0.25,1.0
31/12/2008,0.25,3.0
03/01/2009,0.25,1.0
16/01/2009,0.25,1.0
25/01/2009,0.25,1.0
12/02/2009,0.25,1.0
13/02/2009,0.25,2.0
24/02/2009,0.25,1.0
07/03/2009,0.25,1.0
10/04/2009,0.25,1.0
11/04/2009,0.25,1.0
14/04/2009,0.25,2.0
02/05/2009,0.25,1.0
21/05/2009,0.25,1.0
26/05/2009,0.25,1.0
07/06/2009,0.25,1.0
12/06/2009,0.25,1.0
16/06/2009,0.25,1.0
16/06/2009,0.25,1.0
17/06/2009,0.25,1.0
04/07/2009,0.25,2.0
05/07/2009,0.25,1.0
25/07/2009,0.25,1.0
30/07/2009,0.25,1.0
30/07/2009,0.25,1.0
01/08/2009,0.25,1.0
21/08/2009,0.25,1.0
27/08/2009,0.25,1.0
15/11/2013,0.5,1.0
22/11/2013,0.5,2.0
25/11/2013,0.5,1.0
25/11/2013,0.5,1.0
25/11/2013,0.5,1.0
25/11/2013,0.5,1.0
26/11/2013,0.5,1.0
04/12/2013,0.5,1.0
25/01/2014,0.5,2.0
25/01/2014,0.5,2.0
01/02/2014,0.5,1.0
08/02/2014,0.5,1.0
07/03/2014,0.5,1.0
30/04/2014,0.5,1.0
13/05/2014,0.5,1.0
24/06/2014,0.5,1.0
10/07/2014,0.5,1.0
28/07/2014,0.5,1.0
06/08/2014,0.5,1.0
07/08/2014,0.5,1.0
17/08/2014,0.5,1.0
21/08/2014,0.5,1.0
25/08/2014,0.5,1.0
25/08/2014,0.5,1.0
14/10/2014,1.0,1.0
23/10/2014,1.0,1.0
30/10/2014,1.0,1.0
30/10/2014,1.0,1.0
06/11/2014,1.0,1.0
08/11/2014,1.0,1.0
04/12/2014,1.0,1.0
07/02/2015,1.0,1.0
01/04/2015,1.0,2.0
04/04/2015,1.0,1.0
05/04/2015,1.0,1.0
06/04/2015,1.0,1.0
11/04/2015,1.0,1.0
16/04/2015,1.0,1.0
27/04/2015,1.0,1.0
02/06/2015,1.0,1.0
12/06/2015,1.0,1.0
20/06/2015,1.0,1.0
27/06/2015,1.0,1.0
10/07/2015,1.0,1.0
18/08/2015,1.0,1.0
23/08/2015,1.0,1.0
28/08/2015,1.0,1.0
04/09/2015,1.0,1.0
12/09/2015,1.5,1.0
22/09/2015,1.5,1.0
01/10/2015,1.5,1.0
15/10/2015,1.5,1.0
17/10/2015,1.5,3.0
18/10/2015,1.5,2.0
18/10/2015,1.5,1.0
03/11/2015,1.5,1.0
06/11/2015,1.5,1.0
