dia,ventas
2007-07-06,1.0
2007-07-07,1.0
2007-07-14,1.0
2007-07-21,1.0
2007-08-11,1.0
2007-08-12,2.0
2007-08-24,1.0
2007-08-29,1.0
2007-09-01,1.0
2007-09-07,2.0
2007-09-08,1.0
2007-09-09,3.0
2007-09-11,1.0
2007-09-27,2.0
2007-09-29,1.0
2007-10-04,1.0
2007-10-07,1.0
2007-10-21,3.0
2007-10-24,1.0
2007-10-26,1.0
2007-11-02,1.0
2007-11-03,1.0
2007-11-09,1.0
2007-11-21,1.0
2007-11-23,1.0
2007-11-29,2.0
2007-12-07,2.0
2007-12-08,1.0
2007-12-09,1.0
2007-12-12,1.0
2007-12-13,1.0
2007-12-16,1.0
2007-12-18,1.0
2007-12-20,1.0
2007-12-22,1.0
2007-12-28,1.0
2008-01-01,1.0
2008-01-02,1.0
2008-01-06,1.0
2008-01-14,1.0
2008-01-15,1.0
2008-01-16,1.0
2008-01-19,1.0
2008-01-20,1.0
2008-01-22,1.0
2008-01-25,1.0
2008-01-28,1.0
2008-02-02,1.0
2008-02-03,1.0
2008-02-16,1.0
2008-02-17,2.0
2008-02-18,1.0
2008-02-26,1.0
2008-02-29,1.0
2008-03-01,1.0
2008-03-04,1.0
2008-03-06,1.0
2008-03-07,1.0
2008-03-09,1.0
2008-03-15,1.0
2008-03-17,2.0
2008-03-20,2.0
2008-03-23,1.0
2008-04-11,1.0
2008-04-18,1.0
2008-04-22,1.0
2008-05-02,1.0
2008-05-04,1.0
2008-05-08,1.0
2008-05-09,1.0
2008-05-17,1.0
2008-05-22,1.0
2008-05-25,1.0
2008-05-29,1.0
2008-06-09,1.0
2008-07-05,1.0
2008-07-08,2.0
2008-07-30,1.0
2008-08-01,1.0
2008-08-08,1.0
2008-08-22,3.0
2008-08-30,1.0
2010-10-30,1.0
2011-12-27,1.0
2012-01-02,1.0
2015-01-24,1.0
2015-01-25,3.0
2015-01-26,2.0
2015-01-28,1.0
2015-01-29,1.0
2015-01-30,2.0
2015-01-31,4.0
2015-02-01,2.0
2015-02-02,2.0
2015-02-03,1.0
2015-02-04,2.0
2015-02-05,2.0
2015-02-06,1.0
2015-02-07,2.0
2015-02-08,3.0
2015-02-09,5.0
2015-02-10,1.0
2015-02-11,1.0
2015-03-02,1.0
2015-03-03,1.0
2015-03-05,4.0
2015-03-06,2.0
2015-03-07,1.0
2015-03-09,4.0
2015-03-10,1.0
2015-03-11,2.0
2015-03-12,1.0
2015-03-27,2.0
2015-03-28,3.0
2015-03-30,1.0
2015-04-01,4.0
2015-04-02,1.0
2015-04-03,1.0
2015-04-05,1.0
2015-04-07,1.0
2015-04-09,1.0
2015-04-10,2.0
2015-04-12,5.0
2015-04-15,1.0
2015-04-17,2.0
2015-04-18,3.0
2015-04-24,1.0
2015-04-25,1.0
2015-04-28,1.0
2015-04-30,2.0
2015-05-01,1.0
2015-05-03,1.0
2015-05-07,1.0
2015-05-08,1.0
2015-05-09,1.0
2015-05-12,1.0
2015-05-13,2.0
2015-05-16,1.0
2015-05-17,1.0
2015-05-19,2.0
2015-05-22,3.0
2015-05-23,1.0
2015-05-27,2.0
2015-05-28,2.0
2015-05-29,1.0
2015-06-01,2.0
2015-06-04,1.0
2015-06-05,1.0
2015-06-06,4.0
2015-06-07,1.0
2015-06-13,3.0
2015-06-16,3.0
2015-06-19,2.0
2015-06-20,1.0
2015-06-21,1.0
2015-06-25,1.0
2015-06-27,1.0
2015-06-30,3.0
2015-07-02,1.0
2015-07-04,2.0
2015-07-09,3.0
2015-07-10,4.0
2015-07-11,2.0
2015-07-13,1.0
2015-07-14,3.0
2015-07-15,1.0
2015-07-16,2.0
2015-07-20,1.0
2015-07-21,2.0
2015-07-23,1.0
2015-07-27,1.0
2015-07-29,1.0
2015-07-31,2.0
2015-08-01,1.0
2015-08-02,1.0
2015-08-04,1.0
2015-08-05,1.0
2015-08-06,3.0
2015-08-07,1.0
2015-08-08,1.0
2015-08-10,2.0
2015-08-12,1.0
2015-08-13,1.0
2015-08-14,3.0
2015-08-15,2.0
2015-08-16,1.0
2015-08-17,2.0
2015-08-18,1.0
2015-08-19,1.0
2015-08-21,1.0
2015-08-28,2.0
2015-08-29,3.0
2015-08-30,3.0
2015-08-31,1.0
2015-09-03,1.0
2015-09-04,1.0
2015-09-05,1.0
2015-09-06,2.0
2015-09-07,1.0
2015-09-10,1.0
2015-09-12,2.0
2015-09-14,1.0
2015-09-15,1.0
2015-09-16,4.0
2015-09-18,3.0
2015-09-20,2.0
2015-09-25,2.0
2015-09-26,2.0
2015-09-28,1.0
2015-09-29,1.0
2015-09-30,3.0
2015-10-02,1.0
2015-10-03,1.0
2015-10-04,1.0
2015-10-09,2.0
2015-10-10,2.0
2015-10-11,2.0
2015-10-12,3.0
2015-10-16,2.0
2015-10-17,1.0
2015-10-18,1.0
2015-10-19,4.0
2015-10-20,2.0
2015-10-23,3.0
2015-10-24,2.0
2015-10-25,1.0
2015-10-26,1.0
2015-10-28,1.0
2015-10-30,2.0
2015-10-31,1.0
2015-11-02,1.0
2015-11-05,1.0
2015-11-06,3.0
2015-11-07,1.0
