producto,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Aquarius 1500cc,0,0,0,0,0,0,2.25,1.125,2.4000000954,2.4000000954,2.5,2.5,1.25,2.5,2.5,2.5,2.5,0,0,0,0,1.75,3.5,3.5,3.5,3.5,1.1666666666666667,3.5,2.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,2.25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.75,5.75,6.0,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,3.25,1.75,7.0,7.0,7.0,7.5,8.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,5.0,1.8333333333333333,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0,18.0,18.0,18.0,18.0,18.0,0
We 1500cc by Ser con gas (Damajuana),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,4.5,2.25,4.5,5.0,5.0,5.0,5.0,5.0,5.0,2.5,5.75,5.75,3.0,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,3.25,6.5,7.0,7.0,7.0,7.0,7.5,7.5,8.0,8.0,8.0,4.0,9.0,9.0,9.0,9.0,9.0,3.0,9.0,9.0,0,9.0,9.0,0,9.0,6.0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0
We 2250cc by Ser con gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,4.5,4.75,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.75,6.0,6.0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,7.0,1.1666666666666667,7.0,7.0,7.5,0,8.0,4.0,8.0,8.0,4.5,9.0,9.0,9.0,9.0,0,9.0,9.0,0,0,0,0,0,0,18.0,6.333333333333333,19.0,0,19.0,20.0,0,20.0,20.0,23.0,23.0,23.0,23.0,0
Soda Bichy,0,0,0,0,0,0,1.25,1.25,0.625,1.5,1.5,1.5,1.5,1.75,1.75,0.875,1.75,1.75,1.75,1.75,1.75,1.75,0.875,1.75,1.75,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0,0,0,0,0,0,0.375,0,0,0,0,0,2.5,2.75,2.75,2.75,2.75,2.75,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.0,3.0,3.5,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.5,4.5,2.25,4.5,4.5,4.5,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,2.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.1666666666666667,7.0,3.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.1666666666666667,7.0,3.5,8.0,0
xxxxxxx,0,0,0,0,0,0,0,1.3999999762,1.3999999762,1.5,0,1.5,1.5,0,0,0,1.5,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0,0,2.5,0,0,0,0,0,0,0,3.0,3.0,3.5,3.5,3.5,4.0,0,0,4.0,2.0,4.0,4.5,0,4.5,4.5,4.5,4.5,0,0,0,5.0,5.0,0,5.0,0,5.0,2.5,6.0,0,6.0,6.0,0,6.0,0,0,0,7.0,0,5.0,10.0,10.0,10.0,10.0,0,0,10.0,0,0,0,0
Limonada Terma 400cc,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,7.0,7.5,7.5,7.5,7.5,7.5,0,0,0,0,0,8.0,0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,18.0,20.0,5.0,5.0,0,0,0
Agua Aguita bidon,0,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,0,3.0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2.5,5.0,5.5,5.5,5.5,5.5,5.5,5.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,4.0,9.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,5.0,12.0,12.0,12.0,12.0,6.0,13.0,13.0,6.5,13.0,13.0,6.5,13.0,13.0,13.0,13.0,0
Agua Magna 2 lts,0,0,0,0,0,0,2.75,2.75,2.75,2.75,3.0,1.5,3.0,3.25,3.25,3.25,3.25,3.25,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,1.75,3.5,3.5,1.75,0,0,0,0,0,0,0,0,0,0,0,0,4.75,5.0,5.25,5.25,5.5,5.5,5.5,6.0,6.0,6.0,6.0,6.5,6.5,6.5,3.5,7.0,7.0,7.0,7.5,7.5,7.5,7.5,8.0,8.0,8.0,8.5,8.5,8.5,9.0,9.0,9.0,9.0,9.5,9.5,10.0,10.0,11.0,3.6666666666666665,11.0,11.0,12.0,12.0,13.0,6.5,13.0,13.0,13.0,13.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,18.0,18.0,9.0,18.0,0,0
Agua Bonaqua 1500cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,2.5,2.5,0.625,2.5,2.5,1.375,2.75,3.0,3.5,3.5,3.5,3.5,3.5,4.0,4.0,2.0,2.25,4.5,2.25,5.0,5.0,0,0,0,0,0,0,0,5.0,0,0,0,5.0,6.0,6.0,7.5,7.5,7.5,0,8.5,7.0,7.0,8.0,9.0,9.0,8.0,8.0,0,8.0,8.0,8.0,0,8.0,0,11.5,0,0,0
Levite y levite cero,0,0,0,0,0,0,2.75,2.75,2.75,3.0,3.0,3.0,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.75,3.75,3.75,3.75,3.75,3.75,1.9500000477,3.9000000954,4.0,4.0,4.0,4.0,4.0,3.25,3.25,4.0,2.0,0,0,0,0,0,0,4.5,0,0,0,0,0,4.75,4.75,4.75,5.25,2.5,5.0,5.0,5.0,5.0,5.5,5.5,5.5,1.0,6.0,6.0,6.5,6.5,6.5,7.0,7.0,7.0,7.5,7.5,7.5,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.5,10.0,5.0,10.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,7.5,18.0,1.5,18.0,18.0,18.0,0
Agua Bonaqua 500 cc,0,0,0,0,0,0,0,0,0,1.5,1.5,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,4.0,4.0,2.0,4.0,0,0,0,4.0,0.6799999872833333,1.0,5.0,5.0,5.0,5.0,5.0,5.0,0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,1.5,6.0,6.0,8.0,8.0,8.0,0.6666666666666666,4.0,0.4444444444444444,8.0,8.0,0
Villavicencio 1500cc,0,0,0,0,0,0,2.0,2.25,2.25,2.25,2.25,2.5,2.5,2.5,2.75,2.75,2.75,3.0,3.0,3.0,3.0,3.0,3.25,3.25,0,0,0,2.75,2.75,2.75,2.75,2.75,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,6.0,6.0,6.0,6.0,0,6.0,6.0,0,6.5,6.5,7.0,7.0,7.0,8.0,0,0,9.0,0,0,0,0,0,9.0,0,0,0,9.0,0,0,0,9.0,0,0,9.0,0,10.0,0
Agua Fuente del Milagro Favaloro 2l,0,0,0,0,0,0,0,0,5.0,5.0,2.5,5.75,0,0,5.75,5.75,5.75,5.75,5.75,5.75,5.75,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,8.5,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,7.5,7.5,7.5,7.5,0,7.5,8.0,8.0,0,9.5,0,9.5,9.5,0,9.5,10.0,0,0,0,0,0,0,0
Agua Villa del Sur bidon,0,0,0,0,0,0,5.0,5.0,5.0,0,0,0,5.0,5.0,5.0,0,6.5,6.5,6.5,6.5,6.5,6.9000000954,6.9000000954,6.9000000954,7.5,0,7.5,7.5,8.5,8.5,8.5,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,9.5,9.75,10.0,11.0,11.0,11.0,11.0,11.0,5.5,12.0,12.0,12.0,12.0,12.5,12.5,13.5,13.5,6.75,14.5,7.25,15.0,15.0,15.0,15.0,15.0,16.5,16.5,18.0,18.0,18.0,0,0,0,0,0,0,0,0,21.0,22.0,22.0,22.0,23.0,23.0,24.0,24.0,24.0,20.0,22.0,22.0,23.0,23.0,23.0,25.0,25.0,25.0,25.0,28.0,28.0,28.0,28.0,28.0,0
Agua Villa San Remo 2000,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,10.0,0
Agua Lagoa Vip Bidon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,0,0,0,19.0,19.0,18.0,0,0,13.0,13.0,0,0,17.0,0,17.0,17.0,18.0,18.0,18.0,0
Seven h2 0h¡ 1500cc,0,0,0,0,0,0,2.0,2.0,2.0,0,2.0,3.0,3.0,1.5,3.0,3.0,3.0,1.5,2.9000000954,3.0,3.0,3.0,3.0,3.25,3.25,3.25,3.5,3.5,3.5,3.5,3.5,3.5,3.5,0,0,0,0,0,0,3.75,0,0,0,0,0,4.5,4.5,5.0,5.0,5.0,5.0,5.25,5.5,5.5,5.5,5.5,5.75,5.75,5.75,5.75,6.0,6.0,6.0,6.0,6.0,6.0,0,7.0,7.0,0,0,4.5,4.5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.5,9.5,5.5,12.0,12.0,12.0,12.0,6.0,6.0,14.0,14.0,14.0,0,0,14.0,14.0,16.0,16.0,16.0,0,18.0,18.0,18.0,18.0,0,0,0,0
Agua Villa del Sur 1650cc,0,0,0,0,0,0,0,0,0,1.5,1.75,1.75,1.75,1.75,1.75,1.75,2.0,0,2.0,2.0,0.6666666666666666,0,0,2.0999999046,2.0999999046,0,1.375,0,2.75,2.75,2.75,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5416666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,7.0,7.0,3.5,0,0,0,0,7.0,7.0,0,0,7.0,8.0,8.0,8.0,9.0,9.0,0,0,9.0,9.0,9.0,9.0,10.0,10.0,5.0,0
Soda Sifon Saldan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,1.0,0,0,2.25,2.25,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,3.0,3.0,0,0,3.5,0,0,0,3.5,3.5,4.0,4.0,4.0,4.0,0,0,4.0,4.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,4.5,5.0,0.8333333333333334,1.6666666666666667,5.0,5.0,0,0,6.0,6.0,0,0,0,0,0,0,0,0,0,5.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,6.0,12.0,12.0,0
Soda Saldan 2140 cc,0,0,0,0,0,0,0,0,0,0,0,0.8999999762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1666666666666667,0,0,0,0,2.25,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Agua Naranpol bidon 5 lts,0,0,0,0,0,0,2.75,2.9000000954,2.9000000954,2.9000000954,3.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.25,4.25,4.25,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soda La moderna 1 1/2  lts,0,0,0,0,0,0,0.625,1.25,0.625,1.25,1.5,1.5,1.75,1.75,1.75,1.75,2.0,1.0,2.0,2.0,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,0,0,0,0,0,0,2.5,0,0,0,0,0,2.75,2.75,2.75,2.75,0.39285714285714285,2.75,3.25,3.25,3.25,3.25,3.5,3.5,3.5,3.75,3.75,4.0,4.0,0,0,4.0,4.0,4.0,0.6666666666666666,0.6666666666666666,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.75,0,6.0,6.0,6.0,6.0,6.5,6.5,7.0,7.5,7.5,8.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0
Twister 500cc,0,0,0,0,0,0,0,0,0,3.0,3.0,0,0,0,3.0,3.4000000954,3.75,3.75,2.9000000954,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,5.5,5.5,0,0,0,4.0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soda Secco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villavicencio 2000cc,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.75,0,1.75,0,1.75,0,0,0,0,0,0,0,0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,2.5,0,2.5,3.0,0,0,0,3.0,3.0,3.25,3.25,3.25,3.75,3.75,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5.0,5.0,0,0,0,0,0,9.0,0,0,0,0,0,0,9.0,10.0,10.0,5.0,6.0,12.0,0,12.0,12.0,12.0,12.0,12.0,1.0,13.0,0,0
Aquarius 3000cc,0,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0.75,0.375,0,0,0,0.4499999881,0.8999999762,0.8999999762,0.8999999762,1.0,0.5,0.5,0.5,0.25,1.0,0.25,1.0,0.5,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,0,1.5,0,0,0.75,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,22.0,22.0,22.0,22.0,22.0,0
Soda La moderna 2 1/4 lt.,0,0,0,0,0,0,0,0,0,0,0.64999997615,0.1624999940375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,3.0,3.0,0,0,0,0,0,0,3.0,0,0,0,0,0,3.25,3.25,1.625,3.25,3.25,3.25,3.75,1.875,3.75,4.0,4.0,2.0,4.0,2.25,4.5,4.5,2.25,4.5,0,4.75,5.0,2.5,5.0,5.0,5.0,5.5,5.5,2.75,1.8333333333333333,5.5,5.5,5.5,6.0,6.0,3.0,6.0,6.0,3.0,6.5,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,8.0,0,8.0,0,0,0
Awafrut,0,0,0,0,0,0,0,2.2999999523,0,0,0,4.25,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,3.0,9.0,9.0,9.0,9.0,0,0,0,3.2,2.6666666666666665,0,16.0,16.0,0,0,0,0,0,0,0,17.0,17.0,17.0,0,0
Colon Tempranillo 3/4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0,14.5,0,14.5,14.5,0,16.5,0,16.5,0,0,16.5,16.5,16.5,16.5,16.5,17.0,0,0,0,18.0,18.0,18.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,22.0,22.0,11.0,24.0,24.0,24.0,0,0,0,0,0,0,0,0,28.0,0,0,30.0,30.0,30.0,32.0,32.0,32.0,32.0,16.0,0
Bonaqua 2000cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0,6.75,6.75,6.75,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,12.0,12.0,0,0,0,0,0,0,12.0,12.0,12.0,12.0,0,0
