dia,ventas
2008-02-15,1.0
2008-05-16,1.0
2008-10-10,1.0
2009-01-24,2.0
2009-03-05,1.0
2009-08-15,1.0
2011-07-09,1.0
2011-07-22,2.0
2011-08-16,1.0
2011-08-30,1.0
2011-09-28,1.0
2011-10-05,2.0
2011-10-07,1.0
2011-10-11,1.0
2011-10-14,1.0
2011-11-06,1.0
2011-11-07,2.0
2011-11-08,1.0
2011-11-09,1.0
2011-11-10,1.0
2011-11-17,1.0
2011-11-19,2.0
2011-12-01,3.0
2011-12-06,1.0
2011-12-17,1.0
2012-01-02,1.0
2012-01-10,1.0
2012-01-28,1.0
2012-02-02,1.0
2012-02-06,1.0
2012-02-08,1.0
2012-03-06,1.0
2012-06-29,1.0
2012-08-06,1.0
2012-08-13,1.0
2012-10-22,1.0
2012-10-23,1.0
2012-10-24,1.0
2012-10-27,1.0
2012-11-02,1.0
2012-11-12,1.0
2012-11-13,1.0
2012-11-17,2.0
2012-11-19,1.0
2012-11-24,1.0
2012-11-27,1.0
2012-12-04,1.0
2012-12-06,1.0
2012-12-10,2.0
2012-12-30,1.0
2013-01-02,1.0
2013-01-04,1.0
2013-01-10,1.0
2013-01-14,1.0
2013-01-19,1.0
2013-01-22,1.0
2013-01-24,1.0
2013-01-25,1.0
2013-01-26,1.0
2013-02-16,1.0
2013-02-24,1.0
2013-03-02,1.0
2013-03-08,3.0
2013-03-11,1.0
2013-03-12,3.0
2013-03-15,2.0
2013-04-16,2.0
2013-04-17,4.0
2013-04-18,1.0
2013-04-25,3.0
2013-05-04,1.0
2013-05-10,1.0
2013-05-21,1.0
2013-06-01,1.0
2013-06-03,1.0
2013-06-17,1.0
2013-06-18,1.0
2013-06-22,1.0
2013-07-06,1.0
2013-07-15,1.0
2013-07-20,1.0
2013-08-12,1.0
2013-08-14,2.0
2013-08-17,1.0
2013-08-19,1.0
2013-10-12,1.0
2013-10-29,1.0
2013-11-04,1.0
2013-11-05,1.0
2013-11-09,1.0
2013-11-17,1.0
2013-11-22,1.0
2013-11-26,1.0
2013-11-29,1.0
2013-12-08,1.0
2013-12-19,3.0
2013-12-26,1.0
2013-12-27,2.0
2013-12-29,1.0
2013-12-30,1.0
2014-01-03,2.0
2014-01-04,3.0
2014-01-11,1.0
2014-01-12,1.0
2014-01-15,1.0
2014-01-16,1.0
2014-01-19,1.0
2014-01-20,1.0
2014-01-24,2.0
2014-01-25,1.0
2014-01-27,1.0
2014-01-28,2.0
2014-01-30,2.0
2014-02-15,1.0
2014-02-20,1.0
2014-02-26,1.0
2014-03-14,1.0
2014-03-20,1.0
2014-03-23,1.0
2014-03-24,1.0
2014-03-26,1.0
2014-06-20,1.0
2014-08-02,1.0
2014-08-09,1.0
2014-08-22,1.0
2014-09-05,1.0
2014-09-07,1.0
2014-09-14,1.0
2014-09-27,1.0
2014-11-01,1.0
2014-11-15,1.0
2014-12-12,1.0
2014-12-17,1.0
2014-12-19,1.0
2014-12-22,1.0
2014-12-31,3.0
2015-01-07,1.0
2015-01-14,1.0
2015-01-16,1.0
2015-01-17,1.0
2015-01-26,2.0
2015-01-27,1.0
2015-02-01,5.0
2015-04-24,1.0
2015-04-30,1.0
2015-05-02,1.0
2015-05-04,1.0
2015-05-12,2.0
2015-05-14,1.0
2015-05-18,1.0
2015-06-06,1.0
2015-06-11,1.0
2015-06-12,1.0
2015-06-30,1.0
2015-07-02,1.0
2015-07-26,12.0
2015-07-31,36.0
2015-08-11,36.0
2015-08-14,61.0
2015-08-15,1.0
2015-08-20,1.0
2015-08-23,1.0
2015-08-29,24.0
2015-09-05,60.0
2015-09-06,1.0
2015-09-10,1.0
2015-09-11,48.0
2015-09-17,1.0
2015-09-18,62.0
2015-09-25,1.0
2015-09-26,60.0
2015-09-30,1.0
2015-10-10,48.0
2015-10-17,48.0
2015-10-20,1.0
2015-10-22,1.0
2015-10-24,48.0
2015-10-27,1.0
2015-10-31,48.0
2015-11-02,1.0
2015-11-07,36.0
