producto,id,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Seven Reco 2l retornable,279,0,0,0,0,0,0,82.0,51.0,80.0,86.0,108.0,129.0,100.0,50.0,89.0,52.0,59.0,73.0,76.0,66.0,57.0,95.0,141.0,95.0,75.0,51.0,82.0,66.0,54.0,45.0,62.0,67.0,14.0,0,0,0,0,0,0,1.0,0,0,0,0,0,6.0,71.0,90.0,73.0,20.0,61.0,57.0,31.0,59.0,64.0,55.0,45.0,55.0,71.0,60.0,75.0,7.0,45.0,34.0,63.0,33.0,25.0,34.0,23.0,17.0,31.0,59.0,32.0,0,0,1.0,0,0,0,0,11.0,43.0,23.0,39.0,41.0,28.0,20.0,24.0,50.0,45.0,47.0,39.0,36.0,53.0,58.0,81.0,66.0,27.0,47.0,27.0,39.0,49.0,59.0,32.0,54.0,43.0,6.0,0
Seven 500 cc,280,0,0,0,0,0,0,8.0,5.0,7.0,9.0,10.0,10.0,10.0,11.0,8.0,3.0,3.0,3.0,3.0,3.0,8.0,5.0,9.0,15.0,16.0,6.0,20.0,16.0,14.0,3.0,6.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,12.0,8.0,9.0,12.0,9.0,10.0,3.0,4.0,2.0,7.0,9.0,2.0,10.0,4.0,2.0,6.0,5.0,5.0,2.0,12.0,6.0,6.0,1.0,3.0,12.0,12.0,1.0,11.0,8.0,4.0,8.0,9.0,6.0,6.0,10.0,4.0,9.0,5.0,3.0,8.0,6.0,2.0,1.0,8.0,3.0,2.0,15.0,22.0,2.0,14.0,8.0,6.0,3.0,4.0,6.0,13.0,26.0,40.0,30.0,12.0,0
Seven 237 cc,281,0,0,0,0,0,0,3.0,5.0,4.0,1.0,7.0,11.0,4.0,1.0,11.0,0,0,3.0,6.0,7.0,3.0,15.0,18.0,13.0,24.0,2.0,24.0,19.0,20.0,11.0,12.0,14.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,18.0,9.0,16.0,7.0,22.0,9.0,6.0,8.0,12.0,6.0,10.0,2.0,8.0,10.0,13.0,3.0,11.0,7.0,4.0,1.0,5.0,7.0,5.0,9.0,7.0,12.0,1.0,4.0,5.0,6.0,4.0,6.0,6.0,12.0,6.0,14.0,7.0,3.0,15.0,6.0,13.0,14.0,4.0,6.0,8.0,4.0,9.0,8.0,0,1.0,11.0,3.0,8.0,1.0,0,0,0,0,0,3.0,0,0
Seven vidrio (7up 1 1/4l),282,0,0,0,0,0,0,18.0,37.0,24.0,30.0,44.0,36.0,35.0,19.0,27.0,18.0,14.0,17.0,33.0,23.0,33.0,50.0,50.0,69.0,51.0,35.0,58.0,55.0,35.0,21.0,32.0,35.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,24.0,28.0,37.0,14.0,28.0,19.0,32.0,13.0,30.0,16.0,29.0,18.0,28.0,25.0,34.0,8.0,15.0,15.0,12.0,13.0,6.0,12.0,16.0,11.0,36.0,38.0,28.0,10.0,8.0,9.0,12.0,17.0,10.0,23.0,10.0,22.0,12.0,16.0,15.0,2.0,3.0,9.0,4.0,6.0,6.0,6.0,8.0,5.0,4.0,7.0,0,0,0,0,0,0,0,0,0,8.0,0,0
Seven Free 1500cc,283,0,0,0,0,0,0,11.0,4.0,25.0,11.0,15.0,15.0,19.0,12.0,16.0,11.0,13.0,13.0,12.0,14.0,15.0,11.0,15.0,15.0,19.0,7.0,8.0,10.0,15.0,7.0,12.0,12.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,20.0,21.0,25.0,12.0,15.0,21.0,7.0,11.0,15.0,9.0,9.0,17.0,23.0,26.0,36.0,8.0,20.0,16.0,17.0,18.0,22.0,14.0,15.0,15.0,15.0,29.0,21.0,16.0,24.0,14.0,20.0,12.0,5.0,13.0,12.0,16.0,12.0,42.0,26.0,30.0,38.0,61.0,25.0,31.0,16.0,24.0,16.0,21.0,9.0,19.0,11.0,0,0,0,0,0,0,0,0,1.0,0,0
Pepsi 237 cc,284,0,0,0,0,0,0,5.0,7.0,13.0,6.0,11.0,15.0,12.0,4.0,8.0,8.0,3.0,6.0,2.0,2.0,9.0,11.0,12.0,6.0,20.0,6.0,16.0,6.0,7.0,6.0,6.0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,17.0,6.0,10.0,7.0,8.0,5.0,8.0,6.0,9.0,8.0,12.0,11.0,17.0,3.0,10.0,2.0,7.0,2.0,2.0,3.0,4.0,9.0,15.0,11.0,2.0,3.0,3.0,8.0,6.0,9.0,9.0,5.0,5.0,6.0,3.0,9.0,11.0,6.0,0,8.0,5.0,4.0,10.0,7.0,8.0,4.0,10.0,8.0,9.0,2.0,1.0,5.0,12.0,2.0,0,0,1.0,0,0,0
Mirinda 2 1/4 lts,285,0,0,0,0,0,0,29.0,3.0,24.0,37.0,31.0,45.0,44.0,20.0,37.0,14.0,19.0,21.0,8.0,20.0,19.0,29.0,38.0,40.0,22.0,16.0,29.0,12.0,23.0,21.0,16.0,21.0,3.0,0,0,0,0,0,0,1.0,0,0,0,0,0,4.0,15.0,25.0,22.0,12.0,12.0,29.0,9.0,3.0,5.0,7.0,9.0,13.0,35.0,47.0,43.0,10.0,21.0,18.0,6.0,10.0,9.0,10.0,9.0,6.0,9.0,17.0,18.0,20.0,12.0,10.0,14.0,12.0,7.0,13.0,11.0,5.0,17.0,15.0,10.0,15.0,6.0,5.0,9.0,2.0,0,0,14.0,8.0,9.0,15.0,15.0,10.0,21.0,19.0,19.0,10.0,19.0,16.0,14.0,12.0,1.0,0
Paso de los Toros  Tonica,286,0,0,0,0,0,0,19.0,21.0,20.0,18.0,32.0,54.0,24.0,29.0,35.0,23.0,25.0,27.0,32.0,23.0,19.0,19.0,30.0,17.0,31.0,29.0,49.0,39.0,32.0,26.0,24.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,15.0,18.0,15.0,44.0,23.0,7.0,2.0,26.0,43.0,45.0,39.0,55.0,24.0,36.0,21.0,26.0,20.0,15.0,17.0,9.0,13.0,17.0,17.0,21.0,30.0,20.0,20.0,16.0,10.0,9.0,16.0,14.0,15.0,16.0,25.0,29.0,39.0,21.0,30.0,31.0,15.0,24.0,14.0,10.0,18.0,13.0,16.0,20.0,28.0,32.0,22.0,13.0,30.0,47.0,30.0,9.0,27.0,31.0,26.0,7.0,0
Pritty 1 lt,287,0,0,0,0,0,0,6.0,7.0,9.0,10.0,8.0,16.0,9.0,6.0,5.0,3.0,7.0,3.0,4.0,5.0,2.0,2.0,6.0,9.0,10.0,2.0,10.0,11.0,14.0,11.0,10.0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,24.0,12.0,19.0,4.0,15.0,16.0,10.0,12.0,20.0,20.0,14.0,17.0,21.0,33.0,22.0,8.0,17.0,16.0,16.0,12.0,32.0,19.0,12.0,12.0,23.0,13.0,26.0,15.0,21.0,10.0,21.0,12.0,14.0,8.0,14.0,17.0,10.0,15.0,8.0,8.0,4.0,7.0,5.0,5.0,11.0,3.0,8.0,7.0,8.0,9.0,68.0,4.0,2.0,8.0,4.0,0,7.0,9.0,9.0,6.0,3.0,0
Pritty 2 1/4 l,288,0,0,0,0,0,0,66.0,100.0,75.0,69.0,94.0,138.0,140.0,58.0,111.0,107.0,92.0,86.0,85.0,74.0,72.0,56.0,92.0,135.0,122.0,83.0,189.0,134.0,122.0,108.0,144.0,151.0,29.0,0,0,0,0,0,0,6.0,0,0,0,0,0,34.0,238.0,322.0,279.0,92.0,211.0,178.0,148.0,144.0,142.0,178.0,196.0,170.0,316.0,523.0,382.0,160.0,367.0,354.0,313.0,225.0,199.0,228.0,233.0,270.0,379.0,423.0,422.0,281.0,293.0,221.0,235.0,214.0,187.0,213.0,177.0,239.0,255.0,395.0,320.0,250.0,245.0,203.0,198.0,191.0,197.0,198.0,253.0,286.0,302.0,374.0,318.0,138.0,240.0,279.0,231.0,153.0,250.0,202.0,229.0,275.0,35.0,0
