producto,id,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Trapiche rosado,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,47.0,30.0,37.0,20.0,0,70.0,216.0,58.0,149.0,141.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,170.0,35.0,161.0,110.0,160.0,87.0,89.0,19.0,52.0,0,10.0,40.0,40.0,33.0,28.0,16.0,18.0,2.0,1.0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,4.0,5.0,1.0,0,3.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cavas de Santino magnum,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,6.0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,0,0,0,0,0,0,6.0,5.0,0,0,0,0,0,0,0,0,0,0,0,6.0,45.0,11.0,0
Los Quiroga chico,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,14.0,16.0,18.0,22.0,14.0,12.0,14.0,5.0,7.0,4.0,7.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imago,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,0,0,0,0,0,0,0,0,0,0,2.0,7.0,9.0,0,6.0,4.0,6.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,4.0,0,5.0,1.0,0,0,0,0,0
Suc. Abel Michel Torino ABOCADO (Damajuana),154,0,0,0,0,0,0,8.0,7.0,12.0,13.0,13.0,13.0,14.0,9.0,8.0,7.0,12.0,9.0,6.0,17.0,15.0,10.0,10.0,13.0,5.0,6.0,11.0,10.0,11.0,7.0,10.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,2.0,12.0,2.0,3.0,5.0,4.0,0,6.0,18.0,0,6.0,9.0,4.0,5.0,3.0,0,8.0,0,1.0,4.0,0,0,1.0,0,4.0,1.0,0,1.0,1.0,2.0,0,1.0,0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esperado bco (Damajuana),155,0,0,0,0,0,0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,4.0,1.0,0,0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,9.0,12.0,2.0,0,0,0,1.0,1.0,1.0,0,0,0,0
Bousquet Domaine (Damajuana),158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.0,1.0,0,0
Viejo Viñedo (Damajuana),162,0,0,0,0,0,0,0,0,3.0,1.0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esperado tto (Damajuana),166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,23.0,17.0,14.0,14.0,16.0,2.0,3.0,1.0,5.0,6.0,11.0,16.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,6.0,0,1.0,1.0,0,0,0,0,1.0,2.0,1.0,0,3.0,1.0,2.0,2.0,0
xxxxxx (Damajuana),189,0,0,0,0,0,0,4.0,5.0,6.0,5.0,6.0,1.0,0,0,0,0,1.0,0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,2.0,0,0,0,0,1.0,4.0,1.0,0,0,0,0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
Balbo Magnum,201,0,0,0,0,0,0,132.0,96.0,113.0,112.0,78.0,119.0,82.0,62.0,83.0,102.0,112.0,130.0,120.0,113.0,73.0,80.0,103.0,121.0,111.0,86.0,129.0,135.0,150.0,153.0,141.0,133.0,32.0,0,0,0,0,0,0,2.0,0,0,0,0,0,10.0,61.0,89.0,58.0,30.0,83.0,82.0,59.0,58.0,53.0,48.0,42.0,50.0,62.0,66.0,80.0,23.0,77.0,73.0,70.0,65.0,84.0,93.0,63.0,74.0,70.0,112.0,72.0,73.0,106.0,86.0,90.0,106.0,98.0,93.0,89.0,84.0,79.0,123.0,90.0,56.0,79.0,73.0,106.0,90.0,93.0,109.0,102.0,104.0,121.0,139.0,120.0,60.0,89.0,126.0,120.0,94.0,115.0,153.0,120.0,146.0,21.0,0
Santa Ana Rosado,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4.0,0,0,0,0,1.0,0,0,0,0,0,3.0,1.0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callia (mejoramos precio),204,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,3.0,3.0,2.0,2.0,2.0,0,0,2.0,3.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,3.0,2.0,1.0,5.0,3.0,2.0,6.0,6.0,3.0,3.0,4.0,0,0,0,0,0,0,11.0,7.0,4.0,5.0,12.0,4.0,5.0,5.0,0,0,1.0,4.0,11.0,2.0,5.0,5.0,2.0,2.0,1.0,3.0,3.0,0,0,1.0,0,4.0,7.0,1.0,4.0,5.0,7.0,0,5.0,2.0,6.0,6.0,7.0,13.0,6.0,11.0,20.0,1.0,0
Calvet,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
Ventus,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carcassone tto,207,0,0,0,0,0,0,14.0,6.0,14.0,5.0,5.0,5.0,2.0,5.0,5.0,1.0,2.0,1.0,0,0,5.0,3.0,2.0,2.0,10.0,8.0,6.0,5.0,3.0,6.0,21.0,16.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,7.0,3.0,5.0,2.0,7.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,0,4.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
