dia,ventas
2007-07-03,1.0
2007-09-22,2.0
2008-09-06,1.0
2009-01-10,1.0
2009-02-07,1.0
2009-02-11,1.0
2009-02-14,1.0
2009-02-15,1.0
2009-02-23,1.0
2009-02-24,1.0
2009-03-06,1.0
2009-03-09,1.0
2009-04-27,1.0
2009-06-10,1.0
2009-06-11,1.0
2009-07-14,1.0
2009-07-20,1.0
2009-08-14,1.0
2009-08-30,1.0
2009-09-05,1.0
2010-12-17,1.0
2010-12-24,2.0
2011-01-11,1.0
2011-01-12,1.0
2011-03-11,1.0
2011-05-20,1.0
2011-06-26,1.0
2011-06-30,1.0
2011-07-14,1.0
2011-07-22,2.0
2011-08-28,1.0
2011-09-03,1.0
2011-09-11,1.0
2011-09-18,1.0
2011-09-30,1.0
2011-10-04,1.0
2011-10-06,1.0
2011-10-13,1.0
2011-10-24,2.0
2011-10-29,1.0
2011-11-07,1.0
2011-11-14,1.0
2011-11-15,1.0
2011-11-26,1.0
2011-12-20,1.0
2011-12-24,1.0
2011-12-28,1.0
2011-12-30,1.0
2012-01-17,1.0
2012-01-25,1.0
2012-01-31,1.0
2012-02-04,1.0
2012-02-09,1.0
2012-02-28,1.0
2012-03-02,1.0
2012-03-10,1.0
2012-03-12,1.0
2012-03-17,1.0
2012-03-31,1.0
2012-04-05,1.0
2012-04-16,1.0
2012-04-24,1.0
2012-05-02,1.0
2012-05-03,1.0
2012-05-19,1.0
2012-05-25,1.0
2012-06-02,1.0
2012-06-29,1.0
2012-07-05,1.0
2012-07-12,1.0
2012-07-20,1.0
2012-08-02,1.0
2012-08-11,1.0
2012-09-13,1.0
2012-09-21,1.0
2012-09-27,1.0
2012-10-01,1.0
2012-10-06,1.0
2012-10-11,1.0
2012-10-12,1.0
2012-10-18,1.0
2012-11-03,1.0
2012-11-10,1.0
2012-11-19,1.0
2012-12-07,1.0
2012-12-14,1.0
2012-12-15,1.0
2012-12-22,1.0
2012-12-24,1.0
2013-01-06,1.0
2013-01-17,1.0
2013-02-02,1.0
2013-02-06,1.0
2013-02-28,1.0
2013-03-08,1.0
2013-03-15,1.0
2013-04-07,1.0
2013-04-24,1.0
2013-04-29,1.0
2013-05-03,1.0
2013-05-10,1.0
2013-05-18,1.0
2013-05-21,1.0
2013-06-08,2.0
2013-06-22,1.0
2013-08-09,1.0
2013-09-09,1.0
2013-09-14,1.0
2013-09-19,1.0
2013-11-14,1.0
2013-11-23,2.0
2013-12-07,2.0
2013-12-11,1.0
2014-01-07,1.0
2014-01-16,1.0
2014-01-21,1.0
2014-01-25,2.0
2014-02-10,1.0
2014-02-11,1.0
2014-03-15,1.0
2014-03-22,2.0
2014-04-09,1.0
2014-04-13,1.0
2014-04-26,1.0
2014-05-16,2.0
2014-05-31,1.0
2014-07-25,1.0
2014-08-09,1.0
2014-08-17,1.0
2014-09-14,1.0
2014-10-18,1.0
2014-10-27,1.0
2014-11-02,1.0
2015-01-09,1.0
2015-01-24,2.0
2015-03-21,1.0
2015-03-23,1.0
2015-04-14,1.0
2015-04-22,1.0
2015-06-10,1.0
2015-06-13,1.0
2015-07-18,1.0
2015-07-31,1.0
2015-08-30,1.0
2015-09-05,1.0
2015-09-14,1.0
2015-09-15,1.0
