producto,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Cynar,0,0,0,0,0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,7.5,15.0,0,0,0,0,0,0,0,18.0,0,18.0,0,0,0,0,0,0,0,0,0,0,66.0,68.0,68.0,68.0,68.0,0,68.0,68.0,75.0,75.0,77.0,77.0,77.0,78.0,78.0,0
Durazno Fizz La Farruca,0,0,0,0,0,0,0,0,0,1.5,3.2999999523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,4.75,0,0,0,0,9.5,0,0,0,10.0,5.0,10.0,0,0,0,0,5.0,0,0,0,10.0,13.0,2.1666666666666665,13.0,0,0,0,0,0,0,0,0,0,18.0,18.0,0,18.0,0,9.0,0,0,0,0,0,0,0
Sidra La farruca,0,0,0,0,0,0,0,0,0,0,0,2.9000000954,0,0,0,0,0,0,0,0,0,0,0,2.5,5.0,5.0,1.6666666666666667,5.0,0,5.0,2.5,2.5,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.25,4.5,0,0.75,2.25,4.5,2.25,4.5,1.5,5.0,5.0,3.0,6.0,6.0,6.0,6.0,6.0,0.5,6.0,6.0,6.0,3.0,6.0,1.3333333333333333,1.3333333333333333,8.0,4.0,2.6666666666666665,8.0,0.6666666666666666,8.0,8.0,2.6666666666666665,8.0,8.0,8.0,5.0,0.4166666666666667,5.0,5.0,1.6666666666666667,10.0,2.0,0.4,15.0,0.625,15.0,7.5,15.0,7.5,2.5,3.75,15.0,2.5,0,18.0,9.0,20.0,3.3333333333333335,10.0,0
Sidra Rama Caida,0,0,0,0,0,0,0,0,0,0,0,1.875,3.75,0,0,3.75,0,3.5,0,0,1.75,3.75,1.3333333333333333,4.0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,7.25,0,0,0,0,0,0,0,0,0,0,0,1.6666666666666667,0,0,0,10.0,0,10.0,0,0,10.0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,8.5,17.0,0,0,0,0,0,0,0,0,0,0,0
Sidra Tunuyan,0,0,0,0,0,0,2.5,0,0,0,0.8125,1.0833333333333333,3.25,1.0833333333333333,3.25,3.25,0.5,0.5,0,3.0,1.5,1.75,3.75,3.75,3.75,0.3125,3.75,1.875,0,0.625,0,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Champagne Nieto Brut Senetiner,0,0,0,0,0,0,0,0,0,0,0,3.75,3.75,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,0,54.0,0,0,54.0,54.0,0,54.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,50.0,33.333333333333336,100.0,33.333333333333336,0,0,0,0,0,0,0,0,0,0,0
Frizze frutas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3.25,1.625,0,0,0,3.25,0,0,0,1.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,14.0,14.0,14.0,0,14.0,14.0,0,15.0,15.0,15.0,0,0,0,15.0,0,16.0,0,16.5,16.5,0,16.5,0,0,0,0,0,10.0,11.0,0,0,0,0,20.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Champagne Tocornal Dulce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,36.0,0,36.0,36.0,36.0,0,36.0,0,0,36.0,36.0,36.0,0,0,38.0,19.0,0,38.0,38.0,0,38.0,0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,0,0,0,0,0,0,0,30.0,30.0,30.0,32.0,16.0,32.0,42.0,0,42.0,42.0,42.0,42.0,35.0,17.5,0
Anana Fizz La Farruca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,8.0,8.0,0,0,0,0,0,0,0,8.0,8.0,8.0,10.0,10.0,10.0,0,0,1.6666666666666667,10.0,0,0,10.0,10.0,10.0,13.0,0,0,0,0,0,0,0,0,0,0,0,9.0,18.0,0,0,0,9.0,0,0,0,0,0,0,0
Champagne Federico de Alvear,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,11.5,11.5,5.75,11.5,11.5,11.5,0,0,0,13.5,13.5,0,13.5,13.5,13.5,13.5,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,7.5,15.0,0,0,0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,13.5,0,27.0,0,13.5,0,0,0,0,0,0,27.0,27.0,30.0,30.0,0,15.0,30.0,30.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
