producto,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Desconocido,0,0,0,0,0,0,0,9.0,7.0,10.0,15.0,11.0,5.0,5.0,2.0,5.0,6.0,10.0,10.0,9.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,1.0,0,0,0,0,3.0,8.0,8.0,2.0,1.0,2.0,1.0,1.0,0,0,1.0,0,0,0,0,0,0,2.0,2.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derby 20,0,0,0,0,0,0,0,26.0,24.0,28.0,20.0,32.0,24.0,18.0,14.0,13.0,27.0,25.0,21.0,22.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,26.0,35.0,29.0,20.0,25.0,23.0,20.0,18.0,27.0,16.0,18.0,22.0,20.0,47.0,24.0,8.0,22.0,18.0,15.0,16.0,17.0,6.0,21.0,29.0,17.0,21.0,18.0,11.0,15.0,16.0,18.0,23.0,14.0,9.0,11.0,12.0,8.0,17.0,18.0,11.0,13.0,4.0,18.0,17.0,6.0,11.0,11.0,8.0,10.0,13.0,7.0,10.0,7.0,1.0,1.0,5.0,9.0,6.0,1.0,0,0,0
Derby 20 Suaves,0,0,0,0,0,0,0,5.0,11.0,12.0,14.0,14.0,8.0,10.0,7.0,11.0,8.0,3.0,3.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,6.0,10.0,3.0,1.0,10.0,6.0,4.0,9.0,4.0,6.0,7.0,13.0,13.0,14.0,3.0,2.0,4.0,6.0,8.0,11.0,7.0,2.0,6.0,2.0,3.0,7.0,11.0,18.0,16.0,23.0,20.0,6.0,11.0,12.0,16.0,17.0,10.0,12.0,10.0,8.0,15.0,11.0,5.0,15.0,14.0,9.0,10.0,12.0,15.0,9.0,11.0,7.0,11.0,8.0,13.0,15.0,6.0,0,0,0,0
Conway 20,0,0,0,0,0,0,0,7.0,4.0,1.0,0,0,2.0,1.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,17.0,8.0,10.0,2.0,6.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jockey 20,0,0,0,0,0,0,0,2.0,16.0,10.0,10.0,17.0,12.0,7.0,3.0,7.0,5.0,1.0,2.0,11.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,1.0,2.0,2.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pall Mall 20,0,0,0,0,0,0,0,10.0,10.0,12.0,12.0,12.0,7.0,9.0,19.0,18.0,9.0,11.0,11.0,12.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,13.0,12.0,20.0,7.0,10.0,9.0,5.0,2.0,2.0,4.0,4.0,4.0,12.0,8.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0,0,0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,1.0,3.0,3.0,0
Gold Leaf,0,0,0,0,0,0,0,12.0,11.0,5.0,27.0,20.0,29.0,18.0,9.0,17.0,18.0,17.0,17.0,21.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,15.0,14.0,5.0,14.0,16.0,13.0,11.0,11.0,10.0,15.0,11.0,13.0,16.0,9.0,12.0,17.0,27.0,29.0,25.0,22.0,23.0,26.0,23.0,33.0,25.0,29.0,21.0,19.0,27.0,19.0,20.0,18.0,22.0,15.0,19.0,21.0,21.0,25.0,15.0,31.0,30.0,22.0,26.0,20.0,33.0,34.0,33.0,44.0,49.0,80.0,37.0,36.0,29.0,29.0,25.0,31.0,32.0,31.0,29.0,4.0,0
Gitanes,0,0,0,0,0,0,0,7.0,14.0,9.0,6.0,6.0,6.0,4.0,4.0,2.0,1.0,3.0,6.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,11.0,5.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,2.0,4.0,5.0,7.0,8.0,4.0,2.0,5.0,8.0,7.0,3.0,7.0,3.0,2.0,2.0,2.0,4.0,6.0,6.0,5.0,10.0,4.0,2.0,4.0,7.0,4.0,6.0,3.0,2.0,3.0,12.0,9.0,9.0,7.0,4.0,6.0,13.0,19.0,14.0,11.0,12.0,11.0,4.0,7.0,9.0,7.0,8.0,5.0,4.0,6.0,6.0,1.0,0
43 70 cortos cigarrillos,0,0,0,0,0,0,0,22.0,16.0,21.0,9.0,8.0,13.0,11.0,18.0,7.0,4.0,6.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,6.0,1.0,2.0,2.0,5.0,3.0,5.0,5.0,6.0,4.0,11.0,6.0,7.0,7.0,5.0,9.0,15.0,9.0,5.0,6.0,13.0,12.0,6.0,6.0,6.0,12.0,7.0,8.0,4.0,3.0,4.0,0,0,6.0,7.0,6.0,4.0,7.0,4.0,1.0,2.0,2.0,1.0,1.0,0,2.0,0,0,4.0,2.0,0,3.0,2.0,12.0,11.0,13.0,2.0,0
Jockey 20 Suaves,0,0,0,0,0,0,0,3.0,1.0,2.0,3.0,8.0,17.0,6.0,9.0,8.0,4.0,4.0,1.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0,1.0,1.0,6.0,13.0,13.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pall mall 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,10.0,1.0,0,0,0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richmond,0,0,0,0,0,0,0,62.0,53.0,74.0,55.0,64.0,54.0,44.0,37.0,61.0,38.0,45.0,37.0,32.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,136.0,123.0,142.0,69.0,101.0,112.0,105.0,136.0,70.0,74.0,97.0,144.0,142.0,187.0,162.0,66.0,174.0,139.0,135.0,88.0,124.0,70.0,72.0,92.0,88.0,78.0,122.0,73.0,86.0,65.0,91.0,93.0,89.0,96.0,61.0,68.0,77.0,119.0,77.0,49.0,53.0,51.0,50.0,45.0,67.0,75.0,62.0,52.0,68.0,77.0,62.0,39.0,47.0,58.0,46.0,37.0,38.0,53.0,38.0,24.0,6.0,0
Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabaco Mariposa aleman,0,0,0,0,0,0,0,1.0,0,0,2.0,1.0,3.0,0,1.0,3.0,4.0,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,5.0,0,0,5.0,5.0,3.0,2.0,4.0,5.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,0,5.0,1.0,2.0,3.0,1.0,1.0,0,1.0,2.0,4.0,2.0,3.0,0,0,0,1.0,0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,4.0,10.0,18.0,5.0,0
LyM suaves (Damajuana),0,0,0,0,0,0,0,2.0,1.0,3.0,1.0,22.0,6.0,1.0,1.0,0,1.0,1.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,15.0,9.0,7.0,6.0,6.0,5.0,2.0,0,7.0,12.0,17.0,3.0,3.0,5.0,15.0,8.0,8.0,0,0,0,0,1.0,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0
Marlboro 20 ICE BLAST (Damajuana),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,2.0,1.0,11.0,16.0,17.0,18.0,24.0,32.0,43.0,13.0,27.0,27.0,27.0,15.0,15.0,15.0,9.0,18.0,25.0,23.0,25.0,21.0,21.0,18.0,21.0,19.0,10.0,4.0,5.0,12.0,9.0,15.0,9.0,7.0,5.0,5.0,2.0,5.0,15.0,11.0,8.0,9.0,17.0,17.0,13.0,12.0,6.0,2.0,4.0,15.0,15.0,13.0,22.0,19.0,1.0,0
