dia,ventas
2007-10-06,4.0
2007-10-10,4.0
2007-10-12,2.0
2007-10-17,5.0
2007-10-21,4.0
2007-10-22,3.0
2007-10-27,5.0
2007-11-03,5.0
2007-11-06,3.0
2007-11-10,5.0
2007-11-15,3.0
2007-11-17,4.0
2007-11-19,2.0
2007-11-22,4.0
2007-11-24,3.0
2007-11-25,2.0
2007-11-27,3.0
2007-12-02,1.0
2007-12-03,4.0
2007-12-12,3.0
2008-01-02,1.0
2008-01-19,1.0
2008-01-21,1.0
2008-01-26,2.0
2008-02-09,1.0
2008-02-15,1.0
2008-02-17,1.0
2008-02-18,1.0
2008-02-26,1.0
2008-02-29,1.0
2008-03-04,2.0
2008-03-09,1.0
2008-03-11,1.0
2008-03-12,2.0
2008-03-14,1.0
2008-03-17,1.0
2008-03-19,1.0
2008-04-05,1.0
2008-04-12,1.0
2008-04-16,1.0
2008-04-19,1.0
2008-05-10,1.0
2008-05-29,1.0
2008-05-30,2.0
2008-06-03,1.0
2008-06-05,1.0
2008-06-07,1.0
2008-06-09,1.0
2008-06-10,1.0
2008-06-12,1.0
2008-06-15,2.0
2008-06-16,1.0
2008-06-18,1.0
2008-06-25,1.0
2008-06-30,1.0
2008-07-02,1.0
2008-07-10,1.0
2008-07-14,1.0
2008-07-16,1.0
2008-07-17,1.0
2008-07-23,2.0
2008-07-24,1.0
2008-07-26,1.0
2008-07-28,1.0
2008-07-30,1.0
2008-08-01,1.0
2008-08-07,1.0
2008-08-09,1.0
2008-09-15,1.0
2008-10-06,1.0
2008-10-29,1.0
2008-11-06,1.0
2008-11-07,2.0
2008-12-01,1.0
2008-12-11,2.0
2008-12-18,2.0
2008-12-20,1.0
2008-12-23,2.0
2009-01-03,2.0
2009-01-04,1.0
2009-01-07,2.0
2009-01-08,1.0
2009-01-11,2.0
2009-01-13,1.0
2009-01-14,2.0
2009-01-19,2.0
2009-01-27,2.0
2009-01-28,2.0
2009-02-08,2.0
2009-02-09,2.0
2009-02-15,2.0
2009-03-04,1.0
2009-03-07,2.0
2009-03-13,2.0
2009-03-14,1.0
2009-03-16,1.0
2009-03-31,2.0
2009-04-07,1.0
2009-04-08,2.0
2009-04-10,2.0
2009-04-13,1.0
2009-04-30,2.0
2009-05-21,1.0
2009-05-23,2.0
2009-05-28,1.0
2009-06-03,2.0
2009-06-05,2.0
2009-07-23,1.0
2009-08-02,2.0
2009-08-10,3.0
2009-08-19,2.0
2010-12-22,1.0
2010-12-27,1.0
2011-01-25,1.0
2011-03-18,1.0
2011-04-02,1.0
2011-05-08,1.0
2011-05-10,1.0
2011-05-23,2.0
2011-05-26,2.0
2011-06-02,2.0
2011-06-04,2.0
2011-06-16,2.0
2011-06-20,2.0
2011-06-22,2.0
2011-06-26,1.0
2011-06-29,2.0
2011-07-02,3.0
2011-07-09,2.0
2011-07-13,2.0
2011-07-16,3.0
2011-07-23,3.0
2011-11-11,2.0
