producto,id,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Resero tto,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Termidor ros,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ternuva bco,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Termidor tto,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toro Tinto tetra,57,0,0,0,0,0,0,190.0,241.0,230.0,191.0,167.0,244.0,244.0,164.0,223.0,198.0,271.0,255.0,291.0,248.0,224.0,243.0,346.0,373.0,355.0,254.0,341.0,449.0,224.0,225.0,273.0,297.0,40.0,0,0,0,0,0,0,8.0,0,0,0,0,0,66.0,401.0,392.0,337.0,198.0,466.0,379.0,344.0,373.0,397.0,486.0,468.0,450.0,501.0,510.0,615.0,185.0,518.0,567.0,296.0,350.0,406.0,431.0,513.0,469.0,425.0,406.0,367.0,271.0,305.0,300.0,348.0,292.0,334.0,271.0,275.0,405.0,331.0,393.0,371.0,316.0,299.0,324.0,304.0,228.0,218.0,274.0,296.0,274.0,307.0,353.0,261.0,140.0,278.0,358.0,306.0,204.0,254.0,253.0,177.0,174.0,23.0,0
Toro Blanco tetra,58,0,0,0,0,0,0,98.0,124.0,98.0,97.0,56.0,52.0,55.0,56.0,39.0,48.0,59.0,27.0,33.0,63.0,34.0,42.0,51.0,71.0,71.0,28.0,112.0,94.0,87.0,41.0,31.0,31.0,13.0,0,0,0,0,0,0,1.0,0,0,0,0,0,8.0,63.0,116.0,119.0,57.0,102.0,110.0,112.0,126.0,107.0,111.0,88.0,105.0,137.0,148.0,203.0,58.0,93.0,120.0,117.0,20.0,90.0,94.0,102.0,101.0,113.0,161.0,113.0,122.0,128.0,127.0,140.0,167.0,164.0,156.0,124.0,167.0,119.0,172.0,132.0,135.0,187.0,178.0,182.0,209.0,166.0,125.0,135.0,184.0,147.0,221.0,159.0,53.0,137.0,150.0,108.0,115.0,133.0,124.0,81.0,76.0,9.0,0
Uvita blanco dulce,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viñas Riojanas Blanco tetra,62,0,0,0,0,0,0,19.0,14.0,28.0,55.0,46.0,60.0,29.0,33.0,41.0,51.0,56.0,62.0,59.0,38.0,43.0,34.0,31.0,30.0,32.0,22.0,23.0,20.0,29.0,16.0,34.0,27.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,20.0,19.0,24.0,12.0,16.0,25.0,20.0,26.0,43.0,53.0,74.0,47.0,101.0,70.0,58.0,7.0,68.0,51.0,35.0,66.0,29.0,37.0,48.0,50.0,58.0,58.0,35.0,31.0,15.0,23.0,53.0,46.0,41.0,33.0,22.0,34.0,35.0,40.0,44.0,16.0,22.0,19.0,18.0,30.0,23.0,28.0,36.0,17.0,12.0,19.0,23.0,26.0,43.0,34.0,35.0,36.0,30.0,35.0,29.0,29.0,6.0,0
Viñas Riojanas Tinto tetra y 930cc,63,0,0,0,0,0,0,65.0,52.0,67.0,46.0,44.0,58.0,44.0,49.0,64.0,61.0,60.0,47.0,51.0,77.0,59.0,84.0,71.0,96.0,62.0,43.0,50.0,44.0,75.0,58.0,74.0,84.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,51.0,49.0,35.0,25.0,51.0,28.0,21.0,23.0,28.0,61.0,62.0,55.0,69.0,84.0,90.0,68.0,108.0,66.0,118.0,101.0,60.0,60.0,61.0,73.0,74.0,96.0,101.0,66.0,74.0,75.0,74.0,106.0,113.0,91.0,98.0,120.0,127.0,139.0,169.0,246.0,139.0,103.0,155.0,90.0,94.0,102.0,98.0,142.0,221.0,180.0,173.0,141.0,139.0,129.0,140.0,112.0,170.0,164.0,214.0,240.0,32.0,0
Don Ernesto Bco damaj,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,17.0,5.0,5.0,5.0,3.0,2.0,0,1.0,1.0,0,1.0,3.0,12.0,6.0,1.0,1.0,3.0,2.0,0,1.0,1.0,1.0,2.0,1.0,12.0,5.0,2.0,1.0,0,1.0,0,0,0,0,1.0,1.0,5.0,1.0,1.0,1.0,0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,7.0,3.0,1.0,0,0,1.0,0,1.0,0,0,0,0,0
