fecha,precio,cantidad
03/07/2007,3.1500000954,10.0
16/07/2007,3.1500000954,1.0
17/07/2007,3.1500000954,1.0
29/07/2007,3.1500000954,1.0
30/07/2007,3.1500000954,1.0
18/08/2007,3.1500000954,1.0
20/08/2007,3.1500000954,1.0
15/09/2007,3.25,1.0
15/10/2007,3.25,2.0
17/10/2007,3.25,1.0
18/11/2007,3.25,3.0
01/12/2007,3.25,4.0
13/12/2007,3.25,1.0
24/12/2007,3.25,1.0
08/01/2008,3.25,1.0
10/01/2008,3.25,2.0
17/01/2008,3.25,1.0
10/03/2008,3.9000000954,1.0
21/03/2008,3.9000000954,1.0
23/03/2008,3.9000000954,1.0
15/04/2008,3.9000000954,1.0
01/05/2008,3.9000000954,1.0
24/05/2008,3.9000000954,1.0
04/06/2008,3.9000000954,1.0
07/06/2008,3.9000000954,1.0
08/06/2008,3.9000000954,1.0
26/06/2008,3.9000000954,1.0
05/07/2008,4.5,1.0
12/07/2008,4.5,1.0
13/07/2008,4.5,1.0
17/07/2008,4.5,1.0
20/07/2008,4.5,1.0
25/07/2008,4.5,1.0
01/08/2008,4.5,1.0
04/08/2008,4.5,1.0
08/08/2008,4.5,1.0
18/08/2008,4.5,1.0
20/08/2008,4.5,1.0
31/08/2008,4.5,1.0
13/09/2008,4.5,1.0
03/10/2008,4.5,1.0
13/10/2008,4.5,1.0
18/10/2008,4.5,1.0
19/10/2008,4.5,1.0
25/10/2008,4.5,1.0
02/11/2008,4.5,1.0
08/11/2008,4.5,1.0
08/11/2008,4.5,1.0
14/12/2008,4.5,1.0
20/12/2008,4.5,2.0
21/12/2008,4.5,2.0
29/12/2008,4.0,1.0
31/12/2008,4.0,1.0
14/02/2009,4.0,1.0
07/05/2009,4.0,1.0
06/06/2009,6.75,1.0
07/06/2009,6.75,1.0
07/06/2009,6.75,1.0
26/06/2009,6.75,1.0
02/07/2009,6.75,1.0
03/07/2009,6.75,1.0
04/07/2009,6.75,1.0
04/07/2009,6.75,1.0
04/07/2009,6.75,1.0
07/07/2009,6.75,1.0
07/07/2009,6.75,1.0
02/08/2009,7.5,1.0
10/08/2009,7.5,2.0
12/08/2009,7.5,1.0
17/08/2009,7.5,1.0
21/08/2009,7.5,3.0
23/08/2009,7.75,1.0
23/08/2009,7.75,3.0
03/09/2009,7.75,2.0
03/09/2009,7.75,1.0
05/09/2009,7.75,2.0
06/09/2009,7.75,2.0
29/10/2010,8.75,1.0
30/10/2010,8.75,1.0
30/10/2010,8.75,1.0
31/10/2010,8.75,1.0
01/11/2010,8.75,1.0
06/11/2010,8.75,1.0
08/11/2010,8.75,1.0
09/11/2010,8.75,1.0
11/11/2010,8.75,1.0
13/11/2010,8.75,1.0
14/11/2010,8.75,2.0
14/11/2010,8.75,1.0
15/11/2010,8.75,1.0
19/11/2010,8.75,1.0
26/11/2010,8.75,1.0
01/12/2010,8.75,1.0
02/12/2010,8.75,1.0
03/12/2010,8.75,1.0
21/12/2010,8.75,1.0
23/12/2010,8.75,1.0
23/12/2010,8.75,2.0
24/12/2010,8.75,1.0
24/12/2010,8.75,1.0
24/12/2010,8.75,1.0
31/12/2010,8.75,1.0
03/01/2011,8.75,1.0
15/01/2011,8.75,1.0
20/01/2011,8.75,1.0
27/08/2011,10.5,1.0
28/08/2011,10.5,1.0
