dia,ventas
2007-08-06,4.0
2007-09-14,1.0
2007-09-23,2.0
2007-09-29,1.0
2007-09-30,3.0
2007-10-06,4.0
2007-10-12,1.0
2007-10-16,2.0
2007-10-21,2.0
2007-10-28,2.0
2007-11-03,6.0
2007-11-30,1.0
2007-12-09,5.0
2007-12-10,1.0
2007-12-25,3.0
2007-12-29,1.0
2008-02-15,2.0
2008-02-17,2.0
2008-02-19,1.0
2008-03-19,2.0
2008-03-20,1.0
2008-03-21,3.0
2008-03-26,1.0
2008-06-02,1.0
2008-06-21,2.0
2008-06-23,2.0
2008-07-09,1.0
2008-07-27,4.0
2008-08-03,1.0
2008-08-10,2.0
2008-09-01,3.0
2008-09-16,4.0
2008-10-04,3.0
2008-10-08,1.0
2008-10-18,3.0
2008-10-25,2.0
2008-11-08,5.0
2008-11-11,1.0
2008-11-12,1.0
2008-11-17,3.0
2008-12-10,1.0
2008-12-11,1.0
2008-12-14,3.0
2008-12-18,1.0
2008-12-19,2.0
2008-12-22,1.0
2008-12-23,1.0
2008-12-24,2.0
2009-01-03,1.0
2009-01-08,1.0
2009-01-09,2.0
2009-01-10,7.0
2009-01-23,3.0
2009-01-24,6.0
2009-01-25,3.0
2009-01-26,1.0
2009-01-31,3.0
2009-02-07,2.0
2009-02-10,1.0
2009-02-15,1.0
2009-02-27,5.0
2009-03-01,3.0
2009-03-02,2.0
2009-03-17,2.0
2009-03-21,1.0
2009-03-22,2.0
2011-10-23,1.0
2011-10-24,1.0
2011-10-26,1.0
2011-11-03,2.0
2011-11-04,1.0
2011-11-08,3.0
2011-11-19,2.0
2011-11-21,5.0
2011-11-25,1.0
2011-12-02,1.0
2011-12-08,3.0
2012-01-11,1.0
2012-01-12,3.0
2012-01-13,2.0
2012-01-17,1.0
2012-01-18,2.0
2012-01-23,1.0
2012-01-29,2.0
2012-01-31,8.0
2013-01-01,2.0
2013-01-05,3.0
2013-01-10,4.0
2013-01-16,2.0
2013-02-02,1.0
2013-02-05,1.0
2013-02-06,2.0
2013-02-23,2.0
2013-02-24,7.0
2013-02-25,2.0
2013-02-26,1.0
2013-02-28,2.0
2013-03-02,1.0
2013-03-04,3.0
2013-03-05,3.0
2013-03-06,4.0
2013-03-07,1.0
2013-03-08,4.0
2013-03-09,5.0
2013-03-10,1.0
2013-03-11,1.0
2013-03-12,5.0
2013-03-13,1.0
2013-03-14,6.0
2013-03-15,3.0
2013-03-16,6.0
2013-03-18,2.0
2013-03-19,2.0
2013-03-20,1.0
2013-03-21,1.0
2013-03-22,7.0
2013-03-23,4.0
2013-03-26,2.0
2013-03-27,1.0
2013-03-29,1.0
2013-03-30,3.0
2013-04-01,3.0
2013-04-02,1.0
2013-04-03,1.0
2013-04-05,2.0
2013-04-06,7.0
2013-04-08,1.0
2013-04-09,2.0
2013-05-03,2.0
2013-05-04,2.0
2013-05-05,2.0
2013-05-06,1.0
2013-05-07,2.0
2013-05-08,3.0
2013-05-09,1.0
2013-05-11,2.0
2013-05-14,1.0
2013-05-16,3.0
2013-05-17,4.0
2013-05-18,1.0
2013-05-19,1.0
2013-05-20,1.0
2013-05-23,1.0
2013-05-24,1.0
2013-05-25,2.0
2013-05-26,6.0
2013-05-27,1.0
2013-05-31,2.0
2013-06-03,2.0
2013-06-04,4.0
2013-06-05,2.0
2013-06-06,1.0
2013-06-14,1.0
2013-06-15,4.0
2013-06-16,1.0
2013-06-20,2.0
2013-06-21,3.0
2013-06-22,1.0
2013-06-25,1.0
2013-06-27,1.0
2013-06-28,1.0
2013-06-29,1.0
2013-07-01,1.0
2013-07-03,1.0
2013-07-06,2.0
2013-07-12,1.0
2013-07-13,2.0
2013-07-15,1.0
2013-07-16,2.0
2013-07-17,1.0
2013-07-18,2.0
2013-07-19,1.0
2013-07-20,1.0
2013-07-21,1.0
2013-07-27,1.0
2013-07-28,1.0
2013-07-30,2.0
2013-08-02,2.0
2013-08-04,1.0
2013-08-06,1.0
2013-08-10,2.0
2013-08-11,3.0
2013-08-12,1.0
2013-08-17,4.0
2013-08-18,1.0
2013-08-19,1.0
2013-08-20,1.0
2013-08-21,2.0
2013-08-22,1.0
2013-08-25,1.0
2013-08-28,2.0
2013-08-29,4.0
2013-08-30,1.0
2013-09-02,2.0
2013-09-04,1.0
2013-09-06,3.0
2013-09-07,5.0
2013-09-08,1.0
2013-09-09,1.0
2013-09-10,2.0
2013-09-11,1.0
2013-09-12,2.0
2013-09-14,3.0
2013-09-19,1.0
2013-09-20,2.0
2013-09-23,1.0
2013-09-26,1.0
2013-09-27,3.0
2013-09-28,2.0
2013-09-30,2.0
2013-10-03,2.0
2013-10-04,3.0
2013-10-05,1.0
2013-10-07,1.0
2013-10-12,2.0
2013-10-13,5.0
2013-10-14,3.0
2013-10-15,3.0
2013-10-16,3.0
2013-10-18,1.0
2013-10-19,6.0
2013-10-21,2.0
2013-10-22,5.0
2013-10-26,2.0
2013-10-27,1.0
2013-10-28,2.0
2013-10-30,2.0
2013-11-03,1.0
2013-11-04,1.0
2013-11-05,1.0
